OP,A1,A2 
+,18460,998
+,13770,19679
+,3316,11662
+,14686,4127
+,15449,5891
+,1928,3811
+,57,19348
+,3244,157
+,10493,4269
+,17965,4085
+,19289,18882
+,17133,17910
+,389,8892
+,15014,6540
+,15132,19074
+,18770,12102
+,8944,7306
+,15102,7639
+,15799,1432
+,18912,8638
+,10369,10421
+,12969,11615
+,15920,15310
+,12651,18914
+,10341,1266
+,3591,8402
+,11539,8763
-,461,0
+,10961,13689
+,2708,6465
+,9244,14731
+,13073,14150
+,207,11206
+,5175,1739
+,10218,9786
+,12825,13299
+,13282,7000
-,367,0
+,16105,1902
+,2707,7092
+,366,19185
+,9075,6986
+,3639,5386
+,4574,7465
+,13958,15671
+,9103,6516
-,590,0
+,16571,6208
+,4000,9472
+,9337,5754
+,1454,4958
+,4807,13648
+,9464,14470
+,5549,13989
+,13570,16622
+,2483,4036
+,13955,2893
+,14078,11412
+,16850,11297
+,6915,3496
+,19197,15197
+,13676,942
+,18714,14996
+,17456,8369
+,8362,7087
+,12572,19529
+,8412,4007
+,15114,6404
+,4091,12771
+,1366,17926
+,8307,4661
-,772,0
+,4008,17438
+,8193,17154
+,17225,19727
+,16363,12909
+,5951,3889
+,16140,5084
+,8463,10756
+,3848,16709
+,12195,10207
+,1674,1663
+,10634,13037
+,10858,7882
+,13767,6251
+,1421,12660
+,126,6665
+,17801,4895
+,8214,9802
+,10451,8730
+,10309,15376
+,5636,2773
+,8562,13524
+,19033,15659
+,16431,4999
+,8056,13293
+,9227,4592
+,6193,17741
+,18780,1200
+,19355,18216
+,14726,9359
+,4173,19684
+,10439,17083
+,14376,6358
+,15880,14435
+,12589,7405
+,6791,19589
+,8336,16382
+,18083,554
+,10659,2522
+,9747,14431
+,19381,16159
+,10784,7934
+,15728,3739
+,4842,7858
+,3757,18526
+,4799,17765
+,3529,14812
+,15164,7981
+,14775,8394
+,119,14439
+,558,7439
+,6512,6117
+,18167,14708
+,6273,2648
+,4131,14511
+,9339,19273
+,2502,8855
+,15870,1317
+,9680,8454
+,11988,8632
+,1659,19691
+,8070,13130
+,9264,8926
+,6733,14201
+,10676,7683
-,647,0
+,10773,5618
-,418,0
+,3704,8134
+,7066,18452
+,19424,14550
-,312,0
+,12458,2707
+,7234,4260
+,15685,19365
+,15103,3
+,8536,17227
+,2609,1849
+,3165,13206
+,2343,6193
+,7556,17136
-,315,0
+,5694,7718
+,4795,1439
+,898,9661
+,9838,3160
+,3710,8131
-,780,0
-,280,0
+,3044,17814
+,11384,11539
+,10304,17616
+,795,10097
+,2154,8974
+,3147,19283
+,17280,9241
+,17504,15653
+,9748,18301
+,13255,297
+,9186,1477
+,4431,14441
+,17092,15716
+,10397,19839
+,77,12369
+,19406,7792
+,6549,983
+,9412,7799
+,10343,13498
+,1596,2718
+,8080,934
+,7458,7099
+,16771,8820
+,4224,1043
+,18446,4419
+,2824,371
+,10712,9483
+,10674,18933
+,4467,4795
-,965,0
+,18164,16643
+,14750,11225
+,9922,18320
+,6311,17483
+,11968,4872
+,13028,568
+,19612,12513
+,9812,18092
+,3034,17546
+,5572,7764
+,897,14607
+,4704,12981
+,14827,5302
+,12167,14620
+,17113,1631
+,14573,6282
+,8247,11235
+,10726,13091
+,555,1058
+,11658,4600
+,12393,3099
+,13833,9568
+,15773,18046
+,13588,15764
+,15623,11547
+,8114,487
+,12043,13205
+,10345,3003
+,13407,5044
+,2531,7815
+,8937,6470
+,4923,5078
+,15770,16122
+,15745,15228
+,7621,203
+,2358,12793
+,15657,18168
+,3858,16025
+,14677,12399
+,12471,17868
+,8844,14899
+,16325,18838
+,11451,5068
+,12127,12925
+,11222,17047
+,1956,11241
+,15506,5513
+,9056,18172
+,8228,13834
+,3619,13960
+,13083,18924
+,10264,3540
+,1902,15486
+,14327,4622
+,14872,14585
+,5640,10831
+,19696,16455
+,10332,2043
+,10170,9630
+,5998,5769
+,4177,2967
+,6578,16750
+,14770,13045
+,11100,10211
+,7190,6847
+,16829,13368
+,9687,10389
+,1054,17512
+,2728,15284
+,865,19841
+,18221,5201
+,2326,8182
+,18988,2659
+,1983,4442
+,8055,11466
+,1838,7777
+,17269,4216
+,6360,7057
+,6188,1545
+,14610,346
+,12081,14017
+,17805,8951
+,10053,8781
+,3355,12161
+,1775,3798
+,15676,2405
+,9020,6796
+,585,13883
+,13505,14145
+,7178,7354
+,7542,4701
+,5286,843
+,14649,4276
+,5413,5037
+,705,19639
+,10499,1026
+,11622,5423
+,11543,4559
+,11486,16745
+,3924,1214
+,10408,3003
+,15671,1479
+,5906,2373
+,9356,12905
+,352,16545
+,18674,8059
+,7995,19403
+,4232,18153
+,18720,12154
+,8698,17376
+,19618,1913
+,8753,2176
+,18055,14313
+,12001,19087
+,15002,16026
+,13734,16333
+,15090,2055
+,4286,19911
+,10656,10189
+,9209,5352
+,14430,12323
+,17109,11024
+,3793,6738
+,12249,14990
+,15781,14701
+,7833,13756
+,7316,12079
+,10871,14301
+,16047,1734
+,12149,10628
+,5259,9479
+,4730,16113
+,8792,15540
+,6990,18884
+,8901,11978
+,3253,11981
+,12898,12175
+,16676,18850
+,2986,18041
+,18566,19828
+,18763,6046
+,377,3356
+,12784,16879
+,6520,11893
+,402,10300
+,11506,19696
+,16020,3376
+,5383,10899
-,697,0
+,8173,10332
+,16394,14369
+,12430,10539
+,18807,11637
+,13171,5644
+,13980,18366
+,10762,7273
+,10314,1450
+,16318,2451
+,2050,4703
-,363,0
+,18810,1000
+,19474,6357
+,4485,13079
+,10442,17653
+,3435,12328
+,13865,7849
+,12282,525
+,12626,8386
+,8217,11842
-,210,0
+,19104,16543
+,4439,8737
+,6611,18053
+,12528,13726
-,973,0
+,12126,15916
+,6548,16313
+,4816,9301
+,3687,3924
+,18887,2549
+,3799,3759
+,5735,6775
+,1325,19267
+,777,6558
+,18904,5691
-,172,0
+,18251,2642
+,5524,5573
+,6013,18036
+,9643,15319
+,6566,6171
+,4333,10427
+,6852,1170
+,2488,4433
+,11270,11975
+,4287,13511
+,7191,11968
+,14838,5168
+,4722,9164
+,10818,8177
+,7809,13685
+,2355,9004
+,4022,2304
+,1175,995
+,4865,149
+,3499,2303
+,17802,12020
+,11030,7695
+,974,609
+,247,6563
+,2024,18204
+,13230,1178
+,10424,6810
+,19075,15403
+,6375,13346
+,12193,10631
+,11131,7489
+,11195,19043
+,13572,4737
+,6737,11269
+,9322,11162
+,1835,13321
-,861,0
+,10591,15316
+,14567,9148
+,7975,7814
+,13652,15701
+,6805,5704
+,8333,3696
+,18187,3663
+,19260,18723
+,14002,13149
+,12101,18728
+,14079,694
+,4701,13691
+,16628,5934
+,5585,11427
+,18277,16572
+,4025,7055
+,11842,6473
+,7984,11077
+,14331,3660
+,12548,7911
+,18759,12627
+,5817,15929
+,6760,16144
+,6280,7091
+,8992,11736
+,4283,4767
+,2789,505
+,13493,3915
+,19308,6395
+,15180,9280
+,5755,9516
+,16682,8547
+,18282,19406
+,1961,13070
+,10064,10570
+,900,7540
+,10143,2435
+,12350,4864
+,11365,3879
+,9876,11605
+,911,17485
+,13775,7728
+,11954,6866
+,14512,16994
+,9791,18286
+,15331,8015
+,4030,18138
+,16664,4177
+,10321,1800
+,12712,1412
+,18820,2316
+,6965,17351
+,16996,1642
+,16919,3289
+,9576,17696
+,5441,11728
+,12406,81
+,18528,15469
+,11760,7168
+,17335,17508
+,452,17465
-,211,0
+,17157,14031
+,5422,16485
+,11947,7887
+,8831,561
+,15316,1987
+,5291,5633
+,19038,18787
+,18224,15856
+,6324,6400
+,14572,14139
+,9936,15376
+,3084,331
+,18852,19341
+,14672,9552
+,3336,1301
+,16799,17160
+,11778,5558
+,12338,2608
+,2047,18822
-,587,0
+,11742,208
+,2796,11227
+,14438,18174
+,3082,4499
+,3200,9096
+,624,13596
+,9018,10427
+,11479,11653
+,9864,16476
-,913,0
+,11360,9042
+,14880,17384
+,11128,2440
+,15492,15636
+,11874,3920
+,17772,15820
+,6869,5504
+,15126,17108
+,7500,4772
+,1471,15849
+,18366,10617
+,10893,939
+,13821,6287
+,18358,10496
+,18279,16477
-,23,0
+,6157,7943
+,2445,18658
+,2770,12786
+,11792,18666
-,755,0
+,19080,15182
+,9266,2313
+,18367,19890
+,17165,4836
+,11264,8057
+,340,1662
-,156,0
+,10946,16734
+,19162,14024
+,11844,1491
-,301,0
+,17602,11595
+,6826,7964
+,19907,13065
+,17745,9691
+,621,18063
+,8715,6506
+,10316,6245
+,19008,2815
+,8706,16221
+,7684,17171
+,11281,1947
+,7994,3042
+,19873,5310
+,18742,19730
+,167,6965
+,7731,10286
+,13411,17657
+,861,16412
+,12736,1410
+,13042,16721
+,13866,13851
+,19119,7768
+,2097,2542
+,5620,5769
+,11854,13295
+,232,16495
+,13850,13637
+,2580,1933
+,13630,971
-,486,0
+,7868,8512
+,1797,15944
+,6115,19782
+,7365,12446
+,2615,4440
+,6740,6414
+,17529,16232
+,14665,13017
+,3291,19506
+,3765,17209
+,8930,8641
+,10183,13829
+,15056,8513
+,4616,8893
+,10489,19726
+,4037,19788
+,11035,7742
+,2772,8655
+,13285,16013
+,10034,4343
+,12073,18752
-,133,0
+,12605,605
+,5009,18473
-,762,0
+,13343,8473
+,4909,7169
+,16802,1222
+,14068,451
+,8599,10676
+,15884,3343
+,4001,866
+,13682,15500
+,3040,3292
+,15946,16612
+,3280,13805
+,6976,3540
+,583,13602
+,1532,18157
+,6858,13889
+,11895,6600
+,16593,400
+,5728,5831
-,399,0
+,7847,18309
+,11062,1476
+,1417,5100
+,12235,15492
-,485,0
+,16764,15985
+,17739,8001
+,6052,6346
+,11136,13702
+,10501,16163
+,13237,8200
+,7505,15265
+,8356,13322
+,15769,14393
+,16765,252
+,10825,2032
+,1135,3875
+,4124,5960
+,9007,7782
+,5804,7562
+,3494,7866
+,9483,1269
+,2003,1916
+,4144,9515
+,11866,19555
+,4226,34
+,4843,16248
+,1066,10974
+,8615,18263
+,8588,3448
+,18296,16554
+,6021,14720
+,15440,15487
+,1652,19964
+,11904,4657
+,14794,9698
+,2984,5768
+,8039,6886
+,5103,6742
+,12157,9353
+,15206,864
+,6515,11297
+,14137,16054
+,881,1022
+,1712,13833
+,19720,13803
+,11927,19927
+,2719,7664
+,6926,19906
+,8704,14416
+,15141,14156
+,8332,17087
+,6174,1774
+,2601,16889
-,320,0
+,4792,8685
+,5008,15303
+,14542,18846
+,9835,11895
+,10785,19834
+,6620,19109
+,14723,9966
+,9537,1169
+,3875,15937
+,3554,18494
-,212,0
+,18494,11713
+,15238,12847
+,6560,5109
+,16753,14917
+,4172,2719
+,17015,3472
+,14719,18325
+,18866,9106
+,11586,3917
+,7049,3328
+,3868,238
+,7060,416
+,19740,182
+,18478,16837
+,5096,12748
+,5699,5894
+,7070,15478
+,3230,9903
+,11256,10625
+,17155,154
+,9900,16309
+,6233,17951
+,16872,14699
+,5627,3996
-,233,0
+,2790,8326
+,11065,11340
+,10625,5431
+,11216,3053
+,1161,5895
+,4947,190
+,4755,14416
+,6447,13443
+,15400,18028
+,14179,5498
+,15960,14591
+,4671,10906
+,2918,18005
+,11641,710
+,2515,16232
+,11703,7331
+,17282,9909
+,15101,8849
+,10554,10012
+,17403,1630
+,2082,6446
+,1413,11454
+,502,6870
+,15346,15376
+,8202,8831
+,6292,19465
+,13029,11777
+,2010,4250
+,17828,12513
+,13361,16668
+,15687,6607
-,109,0
+,8324,7958
+,17375,3380
+,10683,17956
+,19586,1370
+,12735,7081
+,15503,1106
+,3486,12571
+,2673,5995
-,480,0
+,611,15093
+,643,19969
+,9753,1460
+,96,4915
+,3658,13154
+,5061,14449
+,7677,8762
+,18955,16852
+,17101,5217
+,15092,19268
+,1176,19833
+,13427,2645
+,2308,7108
+,14929,14401
+,18338,17766
+,10456,7727
+,2190,12019
+,7753,7462
+,13234,19036
+,14818,17757
+,7660,5300
+,519,13540
+,14660,7105
+,2475,1467
+,2891,19428
+,14922,4966
-,451,0
+,3593,15382
+,3992,8339
+,3618,8958
+,16144,4888
+,12183,19319
+,13087,1227
+,17925,414
+,15809,19110
+,18711,15138
+,11104,12324
+,19233,7876
+,2263,8699
+,1987,16835
+,16636,6428
+,6874,6599
+,9542,17731
+,16907,4896
+,6163,261
+,16957,4379
+,4711,10384
+,13340,5231
+,15875,11319
+,336,11425
+,12022,19232
+,9431,12104
+,6707,842
-,735,0
+,7646,16073
+,341,16475
+,17436,14395
+,2250,13355
+,8391,12333
+,4903,15504
+,308,688
+,5240,4562
+,7944,17812
+,9025,10600
+,9553,14741
+,9841,18285
+,4615,3968
+,10836,19132
+,2095,5915
+,19904,7015
+,18190,17963
+,13887,14053
+,17819,9386
+,312,15890
-,999,0
+,12669,1772
+,11002,8841
+,15352,18000
+,18188,18352
+,18511,12835
+,2460,2138
+,15378,15410
+,2885,14188
+,12229,3435
-,148,0
+,11307,12151
+,16890,11689
+,6022,16439
+,8884,9228
+,14016,2520
+,11699,18896
+,16757,2590
+,6434,11572
+,15852,2457
+,11220,8357
+,635,16288
+,14519,12187
+,12481,14060
+,4070,3238
+,18206,8350
+,10823,19985
+,12951,15386
+,16673,6913
+,13699,5593
+,11836,19636
+,13685,7011
+,5771,10378
-,341,0
+,15222,15718
+,17929,4170
+,3439,12763
+,14499,14775
+,16812,15122
+,8185,9389
+,10271,7228
+,4076,9353
+,14673,11785
+,1785,16845
+,7100,7142
+,5489,16216
+,726,11958
+,13129,17089
+,15223,2391
+,19741,8394
+,10680,19663
+,4205,14154
+,14544,13813
+,17796,1894
+,18577,6326
+,942,2572
+,16034,19050
+,16596,8105
+,8272,5255
+,5727,10120
+,2978,18150
+,1401,8437
+,7998,16490
+,4067,2351
+,10925,3216
+,9416,13441
+,6741,10930
+,2798,14299
+,17982,17921
+,9403,5883
+,7236,12490
+,1941,14676
+,7892,14497
+,2323,9607
+,16206,11432
+,6812,4540
+,3375,2329
+,18815,7080
+,5001,9246
+,9422,7671
+,7400,5415
+,3393,1385
+,2816,3278
+,9531,19697
+,16246,19631
+,10393,16303
+,12866,3800
+,8033,10683
+,16290,16936
+,9589,15786
+,4933,3087
-,666,0
+,2652,2617
+,1827,6328
-,394,0
+,14086,5900
+,2537,14289
-,304,0
+,17731,7999
+,17200,9882
-,108,0
+,5086,4862
+,3926,17018
+,5931,14725
+,17943,7827
+,15069,9939
+,7364,3619
+,3099,6509
+,10573,8150
+,17059,10791
+,17765,11263
+,18168,2125
+,17886,3853
+,3429,16173
+,5466,4009
-,348,0
+,16763,3629
+,12120,17753
+,4415,6152
+,19461,5287
+,7423,8465
+,1873,857
+,8413,6678
+,11817,19342
+,16073,12611
+,8300,17914
+,5923,8020
-,697,0
+,11345,5967
+,9693,9415
+,13203,16584
+,17390,1050
+,11720,11606
+,13497,15478
+,4883,16729
+,2687,1134
+,19632,15528
+,5176,8620
+,18950,8652
+,5258,16589
+,7222,19595
+,11969,8737
+,16986,4666
-,395,0
+,7406,18628
+,19546,12355
+,1854,16405
+,11998,1581
+,7596,17436
+,16679,11846
+,18084,12202
+,18355,4123
+,5191,19211
+,1328,15964
+,17154,878
+,12641,14508
+,15309,10615
+,5037,9088
+,16619,29
+,19726,2015
+,19616,8932
+,6898,4836
+,4937,7751
+,1180,8653
+,7017,12390
+,10234,17804
+,13261,12931
+,15928,17105
+,8210,12190
+,3956,6176
+,6162,13340
+,1251,11297
+,14689,16335
+,11864,16346
+,8116,2616
+,2146,6048
+,1461,9638
+,13207,1680
+,14299,9872
+,15324,9355
+,9622,12636
+,1643,7083
+,15343,19513
+,1216,17660
+,14625,12618
+,1300,9039
+,19823,13016
+,11159,1149
+,9859,18185
+,12510,13902
-,108,0
+,6173,14625
+,18486,3676
+,6709,17865
+,13907,19356
+,15195,1966
+,11764,16058
+,11344,16389
+,2974,14889
+,9035,1188
+,9053,19543
+,11562,12559
+,15824,1928
+,571,1857
+,13477,11482
+,14434,4353
+,19661,10609
+,8738,1825
+,13317,14864
+,17693,4427
+,4380,1756
+,7983,16069
+,2418,10200
+,6688,2935
+,5338,7051
+,7157,19111
+,17907,5554
+,3728,3561
-,658,0
+,10797,11705
+,2272,13700
+,3285,334
+,12492,13435
+,8969,14794
+,7026,18974
+,13595,10421
+,3913,10422
-,241,0
+,16834,15669
+,534,8970
+,7900,15912
+,14229,5133
+,11594,12541
+,13250,14792
+,9668,16843
+,3970,12532
+,7652,19973
+,10452,7462
+,18009,989
+,15521,4032
+,12760,196
+,17619,17313
+,3674,9520
+,15019,7667
+,1914,5746
+,13741,11706
+,9237,15996
+,17004,7653
+,12334,13930
+,18836,4852
+,8571,19280
+,7008,158
+,11629,14698
+,19698,7872
+,8296,4889
+,3556,4913
+,17146,2899
+,13007,19240
+,16629,7269
+,11321,9429
+,14906,7034
+,4700,10690
+,12694,14280
+,11504,2962
+,6719,16435
+,2851,5146
-,163,0
+,2196,12884
-,750,0
+,6437,3671
-,146,0
+,3528,1322
+,8765,3987
+,6806,18120
+,4721,18218
+,11814,17629
+,18475,14248
+,6333,8755
+,14091,18054
+,19857,47
+,10076,16121
+,9862,17326
+,15536,1714
+,16798,16592
+,1447,16735
+,8785,14596
+,7736,9746
-,238,0
+,4837,11679
+,7751,14732
+,19420,6043
+,2622,19151
+,4764,1155
+,7715,15777
+,13172,15858
-,385,0
+,10142,5447
+,1090,16436
+,18546,11951
+,3803,7307
+,10822,4481
+,4126,18561
+,4778,4567
+,9284,7498
+,14647,17741
+,904,14939
-,1000,0
-,156,0
+,3800,3340
+,8226,7225
+,7091,7968
+,4230,15542
+,14085,9923
+,4245,19981
+,9291,19758
+,19803,10331
+,6232,16478
+,2575,8106
+,5610,3919
+,9503,3198
+,2568,534
+,19020,3875
+,8873,14615
+,10017,15586
+,16983,14409
+,13902,17975
+,10724,436
+,2444,8711
+,3116,12760
+,14088,14156
+,1432,921
+,7671,5003
+,3620,10389
+,16972,1718
+,9527,5585
+,13170,10870
+,17326,13002
+,6502,18242
+,2599,1655
+,1046,4397
+,12557,2243
+,10692,17406
+,413,12970
+,587,501
+,4252,10922
+,16779,5273
+,12751,9257
+,1052,2658
+,7938,4288
+,19888,14955
+,978,11170
+,8603,12918
+,8863,5596
-,192,0
+,12450,15960
+,7394,2297
+,15247,2830
+,9892,2934
+,163,4437
+,18389,999
+,14474,4912
+,2262,725
+,667,10436
+,3961,888
+,15783,4659
+,17557,15694
+,5898,12986
+,577,19667
+,14365,19947
+,2800,13485
+,5704,19549
+,1844,7687
+,19035,18289
+,12166,13121
+,1530,15687
+,14321,2561
+,13140,880
+,8602,3260
+,16538,508
+,15433,8014
+,10687,14694
+,5395,6523
+,17558,7329
+,15373,6954
+,13512,9868
-,620,0
+,12533,16918
+,19071,12492
+,9739,19567
+,8550,19870
+,12679,13651
+,4387,8630
+,13387,2329
+,16746,6202
-,753,0
+,2107,520
+,17964,1561
+,2304,5178
+,18112,8459
+,5980,10365
+,12829,16169
+,15243,10857
+,10603,19915
+,2087,13085
+,8150,2084
+,767,13377
+,17255,14659
+,5781,19726
+,11310,17342
+,4558,13699
-,923,0
+,17443,6348
+,17577,10372
+,12424,18896
+,19644,2432
+,18557,893
+,18094,11700
+,2234,12127
+,5277,9289
+,12439,2217
+,640,9511
-,818,0
+,13578,3076
+,3250,4578
+,9478,12761
+,1593,19796
+,3155,11524
+,3543,9738
+,945,9595
+,19213,6852
+,8643,9054
+,6421,13846
+,15944,10768
+,6262,12887
+,18567,3624
+,9110,4015
+,15134,19562
+,15313,4336
-,396,0
+,3706,4459
+,9721,17068
+,3505,3407
+,19456,7760
+,9190,12308
+,8195,6248
+,1420,581
+,8739,15374
+,18680,16849
+,14167,5873
+,7469,14564
+,4491,18393
+,12274,10228
+,11860,16572
+,15163,16058
+,10873,518
+,16959,5466
+,18597,5145
-,612,0
+,14440,15422
+,2961,13003
+,8249,349
+,7080,12171
+,10754,6420
+,16737,3701
+,19212,2552
+,17474,10971
+,6517,571
+,18489,9925
+,10389,6487
+,13689,8721
+,17712,10515
+,18054,8425
+,2217,9820
+,13244,19655
-,41,0
+,1817,19677
+,19933,19719
+,2938,15541
+,5543,9460
+,14859,15800
+,3954,19151
-,483,0
+,18178,13802
+,18198,5648
+,5598,2243
+,1859,19517
-,647,0
+,610,3513
+,19538,9560
+,1767,11189
-,381,0
+,2265,7418
+,3537,2494
+,18879,13497
+,9592,7447
+,5770,6780
+,2387,17502
+,7698,17425
+,4771,13321
+,1009,18694
+,16838,2265
+,1339,16495
+,12515,9582
+,204,9950
+,10826,10876
+,16478,16301
+,9249,13653
+,7843,12368
+,8094,14395
+,695,2395
+,6862,16324
+,937,17619
+,691,14139
-,582,0
+,17656,18083
+,3714,9951
+,14024,6176
+,16910,5390
+,12530,16600
+,13545,16831
+,13133,7026
+,3164,5110
+,14881,1409
+,5498,6071
+,5283,11104
+,307,2594
+,7870,18031
+,2158,8012
+,19229,837
+,10750,8589
+,5350,5450
+,11747,5352
+,7793,7932
+,17145,19915
+,728,2610
+,17702,1493
+,16878,19593
+,14180,9006
+,7013,13541
+,3964,9855
+,7668,19102
+,4577,1427
+,7859,19476
-,296,0
+,8026,8270
+,6451,12467
+,17662,15213
+,7038,15616
+,11529,11921
+,4047,14229
+,2555,7052
+,1316,3710
-,583,0
+,19593,19088
+,4413,2889
+,15278,18973
+,1033,12727
+,5188,6969
+,17226,2041
+,13107,491
+,8119,9874
+,2827,7429
+,14745,727
+,15910,881
+,283,10344
+,14333,6536
+,8341,19186
+,4399,7917
+,2363,13727
+,14635,2594
+,1864,2679
-,587,0
+,3003,10238
+,13645,9926
+,18777,7697
+,5003,14875
+,14933,17154
+,7929,14147
+,18101,15362
+,7611,19569
+,3490,19016
+,7537,14688
+,3871,831
+,15768,18292
+,16815,1215
+,3756,10788
+,108,6576
+,12675,9549
+,16270,15013
+,1494,1283
+,17211,3506
+,4299,14359
+,9273,6617
-,436,0
+,12303,15054
+,2997,17434
+,18968,17084
+,9345,7469
+,2529,7406
+,9123,8066
+,16705,4084
+,15358,5425
+,10352,11987
+,7064,8591
+,16978,8472
+,9525,9136
+,18873,19537
-,890,0
+,15088,6566
-,972,0
+,3865,3032
+,8328,16711
+,13764,4784
+,18684,16910
+,16586,1019
+,16793,8082
+,9515,5673
+,17224,18496
+,19866,17900
+,2197,8364
+,5459,13686
+,12647,4401
+,16132,15591
+,14695,16431
+,17056,9628
+,7904,15965
+,8711,16543
+,2200,5250
+,878,2674
+,5529,7516
+,2173,1475
+,912,649
+,17842,3450
+,8327,16719
+,19394,4155
+,18915,9370
+,2669,12061
-,390,0
+,1832,16153
+,11567,19274
+,9875,8144
+,14731,10505
+,17089,13807
-,149,0
+,14363,11688
+,8918,7792
+,4514,13551
+,10721,16340
+,18254,2533
+,8645,17155
+,16210,11127
+,6347,8503
+,102,15139
+,1255,579
+,11580,13709
+,3646,15709
+,10637,11060
+,10865,5539
+,80,8574
+,9481,6337
+,12291,2271
+,19758,18203
-,595,0
+,11890,18689
+,234,1236
+,19714,2003
-,197,0
+,5553,16896
+,95,4463
+,4708,9520
+,9911,8097
+,19030,10933
+,104,7160
+,4848,15929
+,5992,8766
+,19170,6146
+,11168,12604
+,158,6130
+,7713,8000
+,12368,12266
+,12503,6500
+,12965,6065
+,13586,17272
+,5352,27
+,3248,1263
+,11620,13314
+,2276,17756
+,12803,9885
+,6930,4171
+,18205,18986
+,14387,6010
+,9681,3659
+,4471,8190
+,12293,2296
+,12404,3277
+,4239,15954
+,16797,11539
+,14589,4433
+,4867,760
+,6540,18580
+,1032,13722
+,17954,17179
+,16352,5554
+,17031,15847
+,9888,18091
+,8115,5470
+,14983,11945
+,4297,1222
+,7401,2386
+,19556,16974
+,11013,17505
+,1117,19870
+,14461,14387
+,15886,10895
+,2962,289
+,3589,19207
+,17222,4894
+,3401,494
+,10560,10267
+,9768,4380
+,5616,17933
+,10135,12430
+,18056,19252
+,2909,19141
+,13688,2686
+,4874,15162
+,17074,6705
+,14098,1495
+,4180,8494
+,10056,6393
+,6460,8737
+,12386,14217
+,8766,10915
+,10621,2205
+,2838,18479
+,2734,10607
+,5245,18135
+,6766,14587
+,3492,1093
-,492,0
+,13950,9711
+,1406,6562
-,16,0
+,17306,3816
+,18146,3139
+,18323,18955
+,9334,2594
+,7700,9963
+,14447,8645
+,824,15532
+,3792,10446
+,12224,16910
+,19028,3985
+,3262,7501
-,553,0
+,19572,16194
+,1072,1977
+,14356,17279
+,12648,7807
+,4593,6870
+,10974,2184
+,2546,9474
+,15181,6937
+,9323,7404
+,164,12793
+,12900,1850
+,16527,17394
+,1955,2464
+,11544,13998
+,1198,6382
+,3179,14825
+,18283,12944
+,3057,19308
+,18679,3606
+,596,19398
+,19784,4499
+,10853,14526
+,9543,11021
+,424,18307
+,4658,9055
+,14966,3701
+,10992,1805
+,2264,746
+,18693,4872
-,834,0
+,17736,12332
+,11295,14770
+,10806,16294
+,462,4734
+,3791,15018
+,2253,788
+,6279,19727
+,5847,15160
+,7527,16465
+,16477,12894
+,19860,12232
+,5805,19349
+,9631,11120
+,3898,8315
+,17688,10900
+,16641,9357
+,19072,131
+,6018,3065
+,12102,12042
+,11252,15391
+,15867,581
+,9540,12871
+,15152,5363
+,13299,14633
+,9234,7678
+,1327,4731
+,9840,13927
+,4678,14671
+,17411,4999
+,2990,11539
+,16889,15809
+,15295,5064
+,8655,12010
+,1618,826
+,9010,7205
+,10344,2472
+,5424,1648
+,14627,6117
+,18808,2504
+,43,9777
-,76,0
+,5262,4610
+,11277,4337
+,1187,15097
+,853,5582
+,8028,11222
+,5599,9942
+,9700,4995
+,8001,1707
+,1331,19402
+,14807,453
+,5051,3504
+,513,13046
+,550,6755
+,11604,9450
+,19214,467
+,1333,4252
+,13524,11196
+,13609,8079
+,16063,2027
+,14296,15853
+,6130,10839
+,7528,4395
+,17314,17042
+,12058,4207
+,12507,13691
+,7601,2874
+,14332,10051
+,1547,4714
+,18461,15211
+,9061,14712
+,19621,14744
+,8681,2850
+,7696,18719
+,11628,10661
+,10167,18620
+,13574,6275
+,8556,19212
+,14472,2402
+,2604,5837
+,758,13835
+,19808,16448
+,11219,2506
+,18123,9063
+,12662,19525
+,12036,5655
+,7343,4412
+,16125,602
+,6944,19492
+,2176,2441
+,3974,4455
+,15332,3052
+,1635,12619
+,1834,5150
+,9009,13957
-,219,0
+,3083,17323
+,4274,16732
+,11419,1963
+,1311,17918
+,1779,5495
+,7877,2003
+,7218,3218
+,9355,3629
+,7246,727
+,19058,7565
-,480,0
+,3912,16358
+,4663,677
+,1626,12415
+,1758,15939
+,2771,17859
+,3722,18717
+,12877,12356
+,7155,14626
+,13040,8506
+,14655,158
+,2314,18458
+,1831,15945
+,15389,499
+,14877,19373
+,4307,11638
+,3491,3775
+,11589,8380
+,17665,11215
+,205,5441
-,169,0
+,17683,14247
+,17601,2691
+,16293,2050
+,4758,4562
+,10527,15788
+,4320,14386
+,773,16764
+,136,19225
+,3853,8734
+,19160,8706
+,1298,4429
+,11501,11813
+,18793,10927
+,3588,11201
+,9281,14204
+,16511,9877
+,11056,15663
+,5956,17750
+,14541,19324
+,14741,878
-,65,0
+,18502,18110
+,13519,7799
+,3152,16953
+,5214,15007
+,15218,4386
+,7048,3892
+,2682,2172
-,788,0
+,6145,12320
+,9215,5327
+,62,12837
+,18559,8178
+,8923,15627
+,5360,8930
-,91,0
-,403,0
+,9257,249
+,8254,12302
+,15675,16613
+,1999,9083
+,18462,14850
+,8359,10210
+,8595,11026
+,14019,8629
+,9882,16425
+,2919,13392
+,4955,16670
+,8816,13293
+,8354,8765
+,17090,15178
+,8495,15612
-,42,0
+,1716,13732
+,6690,13023
+,10616,14665
+,988,7056
+,13057,8454
+,4994,12794
+,16675,7366
+,8574,16926
+,16717,15108
+,16745,1204
+,15301,417
