OP,A1,A2,A3 
+,16716,13189,5395
+,808,10476,8703
+,14663,9045,16249
+,4618,11904,19563
+,18584,8142,16140
+,9086,13104,15851
+,16700,17821,8505
+,6415,5686,13775
+,19461,10798,10701
+,11582,16233,4084
+,5935,12902,13052
+,3248,15836,9140
+,3609,11406,2096
+,1502,13547,11559
+,9830,9173,12693
+,13540,5136,11792
+,2283,10996,4834
+,15359,16923,5862
+,14749,3288,13903
+,1786,18745,19391
+,17781,19564,2083
+,27,16184,6549
+,13394,10489,16631
+,12488,8161,2302
+,2949,1051,10272
+,2124,15373,3105
+,19600,14993,137
+,14270,16422,14329
+,7725,5527,1122
-,596,0,0
+,4533,1556,13574
+,15430,2652,11517
+,1727,15271,8663
+,17912,7693,19831
+,4993,12719,12427
+,10696,18554,10364
+,15531,4034,4594
+,3714,14291,640
+,1061,16775,67
+,12839,18858,4913
+,3965,14964,13970
+,4719,7903,19481
+,6842,19355,1437
+,7390,9505,18576
+,5804,12505,13860
-,443,0,0
+,5733,17933,5179
+,18307,1482,3449
+,166,4701,15041
+,18623,14941,1732
+,9862,9171,12104
+,12163,2490,4416
+,7531,9614,6779
+,18428,9537,8829
+,14911,16621,7575
+,15810,7421,2727
+,4181,13613,7199
+,8682,16791,2115
+,7675,2898,5931
+,743,17107,14267
-,537,0,0
+,16747,9504,2795
+,8727,4315,10564
+,16553,13912,7688
+,19708,9854,9158
+,9095,17216,5644
+,10753,19522,386
+,16299,18849,10445
+,8986,19776,4509
+,9993,7979,8425
+,5929,1195,7306
+,14897,13182,1009
+,16961,8709,5724
+,1408,13882,2407
+,10422,12238,19073
+,18117,5534,18018
+,3421,5405,8132
+,5916,17974,19305
-,963,0,0
+,12193,13106,7272
+,13193,3387,17586
+,7210,2485,8692
+,11450,18289,6904
+,8753,1949,9520
+,4145,10376,9626
+,9421,15465,3624
+,14777,18600,5518
+,16668,16441,2926
+,18215,12075,10454
+,12254,13288,1114
+,966,19467,767
+,1220,2851,5978
+,9526,1771,320
+,15505,14785,4537
+,5403,13958,18696
+,16561,5006,19309
+,19350,4126,10611
+,13277,5562,16896
+,7408,16278,16919
+,9229,8460,13639
+,10291,15598,2666
+,2489,17095,18160
+,11723,4235,7717
+,18928,14540,6058
+,11910,18579,16894
+,11161,7867,2146
+,18412,4479,13825
+,19423,1615,10592
+,6909,18877,5962
+,11195,2239,2945
-,539,0,0
+,468,6861,7607
+,14653,7229,2975
+,7781,3993,5859
+,8949,14325,11296
+,19926,15358,10047
+,4752,18520,18168
+,367,7375,13201
+,3761,14683,10847
+,11562,10487,12479
+,15768,10996,14103
+,19064,9308,18023
+,5679,6199,17649
+,14833,13804,3961
+,2871,13042,13137
+,9283,3543,2110
+,12688,8327,10782
+,15389,2167,17089
+,1046,14570,6961
+,9549,2012,4424
+,13810,16821,1117
+,10147,8905,2257
+,5328,6588,19666
+,16517,2902,5223
+,14721,15754,12180
+,1184,3221,19486
+,12720,9769,8346
+,13740,5810,7520
+,14481,10986,10622
-,50,0,0
+,1986,2183,17412
+,6194,18004,5040
+,1451,7284,10121
+,5029,14232,18251
+,17886,7927,11142
+,4237,7232,4476
+,14987,8164,19816
+,19223,5311,882
+,6437,2173,14861
+,18753,4255,15899
+,1869,10866,8924
+,12462,17110,5166
+,16766,19706,2046
+,16406,16283,15222
+,8979,14546,6398
+,1795,3006,18407
+,8491,9967,13317
+,6247,7165,16302
+,9190,12662,13479
+,14034,15113,7641
+,11434,15885,18357
+,15596,4736,9081
+,3548,18211,14985
+,1524,13719,2697
+,6419,8742,16962
+,13633,18115,11453
+,14518,18113,15470
+,9531,6817,328
+,9434,12852,5965
+,1478,13742,6638
+,662,2621,1388
+,9139,3996,9444
+,10029,14688,3707
+,18191,17523,9534
+,1705,12072,2258
+,3091,9706,10332
+,9168,16186,9889
+,9712,1591,10990
+,4453,2044,7524
+,11067,1101,14096
+,11329,4946,527
+,12203,12823,11589
+,13664,5264,18517
-,958,0,0
+,11716,15160,14222
+,17389,17223,19347
+,13843,12471,9511
+,6355,14416,19860
+,12760,4736,4006
+,18643,19045,1910
+,8392,6588,8868
+,10443,11533,1949
+,13749,15064,9693
-,150,0,0
+,18237,38,3241
+,19577,11032,10945
+,11614,14822,15373
+,9868,14781,7695
+,7596,1135,7303
+,16060,9647,18981
+,10840,10110,15585
+,19189,9556,13778
+,3494,12332,7192
+,14969,3521,1129
+,1453,18069,4763
+,10884,1771,15173
+,781,15417,12101
+,6479,5703,11318
+,7605,4426,8651
+,8992,12245,15604
+,18476,16855,14472
+,3696,6049,15524
+,5039,10645,2279
+,5559,16113,14440
+,4868,12917,3826
+,6634,4340,8648
+,14180,15490,16138
+,19677,6974,9971
+,15853,14886,7825
+,7783,13418,15007
+,13027,2270,17811
+,9636,10900,13869
+,17961,17726,18838
+,2471,13253,17089
+,4274,15362,15580
+,18800,14683,378
+,4080,19950,2901
+,15583,7621,307
+,2031,3201,2995
+,9871,4219,4052
+,4025,12815,1819
+,513,603,9127
+,5930,5914,8838
+,5009,16916,14835
+,419,17345,15481
+,15151,7326,19652
+,14885,12712,18634
+,4817,16968,8230
-,245,0,0
+,8477,8388,14166
+,5811,10650,10480
+,1622,18078,5907
+,17136,14556,1462
+,11944,9998,5107
+,14346,15863,9458
+,13376,17052,19578
+,18298,6257,6923
+,9506,12852,2885
+,12638,7103,3205
+,6378,14716,11473
+,4154,5806,16199
+,16072,15190,15357
+,15216,3258,31
+,6596,14543,18282
+,14266,13198,8941
+,19586,9759,11472
-,934,0,0
+,11200,19263,3471
+,7777,7209,7628
+,5765,6230,5762
+,11854,18370,6495
+,5682,12573,13024
+,17463,8910,7834
+,291,14190,19336
+,8416,9167,6416
+,12554,2865,5336
+,5208,12298,8039
+,8372,791,4426
+,4534,18861,9342
-,64,0,0
+,13730,17136,10744
+,10236,7839,16782
+,16212,392,6498
+,11820,5539,6428
+,4595,18259,10537
+,13298,11183,3390
+,12984,2801,8542
+,1929,3198,4187
+,14309,7337,4358
+,19147,5162,18149
+,3545,5393,1263
+,17634,16658,17859
+,8725,13348,13090
+,381,2691,18113
+,7980,11151,6557
+,14164,1879,9630
+,8258,18492,4805
+,15073,8392,6544
+,11089,8466,8742
+,8043,1123,4535
+,17295,3784,9919
+,3596,9481,18298
+,8378,19770,2721
+,17499,16320,2230
+,12895,16224,1915
+,18283,11984,1208
+,16876,11604,7671
+,8674,15615,18164
+,12041,2003,9219
+,13117,19843,9377
+,779,18586,4921
+,60,12286,16824
+,19129,17789,14271
+,15722,19594,849
+,6787,5686,8930
+,19925,13125,10516
+,15416,7462,1887
+,9960,5532,5999
+,11906,14132,12589
+,9075,11920,19589
+,7467,10403,13221
+,6389,11025,11128
+,18674,4649,18544
+,12812,312,6039
+,14197,9643,18461
+,2164,15114,19388
+,8847,2165,10427
+,3081,5741,19068
+,17191,16122,5908
+,18509,3508,4534
+,164,13842,3908
+,8473,5369,2052
+,18853,620,14957
+,19392,15361,2669
-,876,0,0
+,2984,18338,19146
+,14302,5999,16229
+,19864,15660,13958
+,731,9392,5262
+,16975,4545,17981
+,5339,16074,3120
+,15258,13272,822
+,150,507,3315
+,9035,16857,15088
+,17543,8476,13267
+,361,2941,10797
+,2209,11021,16008
-,365,0,0
+,19455,8719,8464
+,17859,3772,15895
+,8735,7297,6884
+,14026,10247,13607
+,7322,19152,1321
+,14671,7611,781
+,13169,19268,4873
+,1058,312,12298
+,14508,11639,18720
+,1938,2133,2170
+,18458,11749,6917
+,4272,10164,19109
+,16574,12678,14085
+,4195,8858,19979
+,10281,13543,16564
+,11988,13733,15745
+,19821,5015,4108
+,14142,11477,738
+,10297,12527,5892
+,14269,4656,19168
+,9890,18972,2458
+,15540,10348,14879
+,3279,19188,18560
+,15319,3299,9786
+,15581,13777,1772
+,8792,14377,15759
+,10832,14840,2211
+,13844,10210,2990
+,1028,13228,10995
+,10126,18926,19716
-,231,0,0
+,2733,19683,19972
+,2222,17822,934
+,1883,5647,11926
+,6723,18553,1219
+,11078,7312,2390
+,16220,15511,9491
+,5091,6481,15385
+,12024,8978,14035
+,15994,19337,13843
+,14318,559,18845
+,13208,3567,8181
+,7916,10316,19109
+,14319,9501,2059
+,17526,11256,18932
-,461,0,0
+,5340,13670,8604
+,9092,16333,10919
+,16966,1175,18878
+,10365,2613,2426
+,13607,7271,18722
+,1800,5403,11857
+,13708,1843,12132
+,18416,15761,8738
+,11008,1485,16221
+,9542,495,4646
+,15553,17067,1497
+,10131,413,14910
+,9431,6332,266
+,5099,14019,6506
+,11429,17382,6832
+,19793,16612,13011
+,680,3777,18736
+,11733,18271,9086
+,12576,17528,8960
+,12578,17669,17232
+,12256,16657,19923
+,8199,8169,3487
+,12315,5274,6658
+,14500,5389,4405
+,19213,10713,15921
+,13229,16808,18420
-,160,0,0
+,17237,8877,12774
+,8292,15139,15221
+,13872,9612,13204
+,19446,6112,10658
+,6163,15788,10232
+,5327,16133,14297
+,8587,5617,2410
+,6789,9402,7170
+,14228,461,9349
+,15364,14608,12423
+,4281,5963,3471
+,17584,13406,13684
+,1874,7485,2688
+,4945,15164,17660
+,8188,5385,18111
+,13572,4628,9976
+,3240,1747,18504
+,14478,466,12713
+,15663,14389,3332
-,665,0,0
-,338,0,0
+,4746,6894,10414
+,5760,10522,19536
+,13224,11426,17397
+,19018,15546,597
+,1509,9939,17002
-,457,0,0
+,1338,12264,14639
+,2829,11411,9961
+,4837,12597,12640
+,10171,14045,14446
+,12482,15095,2184
+,18128,3526,7583
+,9001,2222,6398
+,3527,12612,8965
+,13257,3558,4854
+,7493,12585,11136
+,8808,5425,5643
+,4438,17456,16956
+,6729,19744,17403
+,2199,10539,17051
+,1386,2538,9848
+,19418,3810,9631
+,19594,12832,8363
+,13010,466,18193
+,16434,14997,18156
+,257,19102,14194
+,5331,11935,6834
+,8171,5314,14947
+,12206,10658,7841
+,8419,15496,8255
+,2013,16988,18820
+,7420,15916,10949
+,11493,17805,3810
+,3156,13913,9158
+,8022,7594,18051
+,10007,18891,6470
+,9672,4078,13192
+,13488,8543,18091
+,17898,17568,19996
+,12108,18164,6372
+,17097,8238,19142
+,2156,14469,18819
+,15123,11538,13938
+,16724,15983,3775
+,15578,10647,1632
+,12000,2159,7715
-,669,0,0
+,11990,3936,9681
-,799,0,0
+,2493,12178,3989
+,17213,16904,14486
+,5088,4866,18680
+,4365,6765,17737
+,2874,19456,12754
+,13590,2211,11068
+,3618,5527,9757
-,945,0,0
+,16772,1854,14904
+,12037,7339,237
-,958,0,0
+,12434,15056,2790
+,9227,9301,18777
+,13928,15115,10461
-,361,0,0
+,2676,3523,17198
+,8399,10821,17178
+,1438,17816,4277
+,3753,18771,9962
+,19721,8317,5713
+,13316,17327,6999
+,14137,15163,4210
+,16971,7944,14198
+,15000,8728,2729
+,16946,4372,14332
+,16232,9491,9568
+,2890,19585,8478
+,18535,13078,19262
+,16771,17070,12054
+,13828,10709,9974
+,8163,541,8595
+,9059,9376,13059
+,16318,19313,19846
+,8961,791,13723
+,15519,17013,5572
-,757,0,0
+,8541,19903,18498
+,9760,2438,3341
+,12152,5606,2893
+,10974,6687,10213
+,15792,5702,19947
+,16193,17067,11970
+,231,4808,14986
+,18205,14466,11055
+,2912,14166,5727
+,7148,10883,18595
+,17890,13663,10482
+,7375,8056,9023
+,19650,14324,1582
+,16358,12669,4198
+,5199,4350,12768
+,3538,11644,6015
+,18971,4654,8851
+,7774,9283,13451
+,2382,1665,919
+,10482,10758,4490
+,11817,8873,12907
+,826,3442,16004
+,9653,17473,15981
+,9460,2649,7093
+,18708,14643,14825
+,19872,9675,16277
+,14359,14750,9864
+,16765,20000,11734
+,6331,19438,8809
+,18770,11047,1861
-,643,0,0
+,9804,18510,16119
+,5406,12706,8669
+,8179,17761,2640
+,9198,18482,14747
+,6236,10939,14392
+,12908,3825,970
+,18154,3261,7552
+,327,16474,6786
+,13299,5740,13261
+,14467,5819,8469
+,11497,6633,5087
+,6504,18551,14489
+,2669,14398,18140
+,8532,17609,13574
+,17068,17424,4094
+,11634,804,2352
+,12236,10053,7977
+,10784,11006,10630
+,18550,8342,14578
+,11452,4029,14383
+,10317,9420,2443
+,1842,17504,648
+,15546,2737,8496
+,17243,7438,15272
+,14506,19261,15186
+,3951,15551,9058
-,457,0,0
+,14066,7639,18991
+,19554,10266,4034
+,16581,1459,14800
+,10542,7585,13521
+,4015,9696,4286
+,4889,9748,10744
+,12382,10466,4215
+,2837,17754,1199
+,2461,9915,11052
+,15800,6815,7300
+,18704,16308,5889
+,3900,19849,19956
+,4696,17350,4552
+,2108,9874,7586
+,19381,14282,11653
+,2484,7307,15099
+,13701,17469,2322
+,18201,10652,18206
+,11144,18086,4434
+,17662,17358,14145
+,1304,940,8361
+,11351,13680,12761
+,11573,2298,9058
+,3589,5533,11112
+,11154,12532,18880
+,18449,15696,6144
+,17825,5686,9137
+,6913,11009,15219
+,8813,8934,16915
+,15637,16781,12542
+,3176,9325,9609
+,1343,10109,17637
+,17263,6985,19182
+,14453,168,11191
+,6527,13274,1858
+,19404,14919,10584
+,11738,12739,5370
+,19978,7815,14890
+,8048,13829,15939
+,14442,7209,16187
+,8212,7032,1087
+,16868,1199,14390
+,3982,1352,7447
+,996,19074,11052
+,3957,7107,14333
-,829,0,0
+,1676,9574,3219
+,15247,8361,10221
+,16233,2507,8899
+,6623,4387,17060
+,5922,9715,6797
+,17906,2487,8361
+,1091,10030,6791
+,10138,12950,4379
+,15397,5214,16855
+,722,1859,15498
+,5953,8188,15271
+,9250,16488,8739
+,5466,10948,5308
+,12067,1066,3410
+,11575,9125,10843
+,5269,6691,532
+,18003,3164,5785
+,15074,18860,7324
+,387,13944,1351
+,16217,8078,17908
+,5052,10223,3873
+,9484,9224,2437
+,2310,15071,10648
+,17014,12568,4937
+,10650,5968,18257
+,11496,12594,3029
+,16366,12910,1760
+,14892,35,18426
+,4697,4890,185
+,9727,18417,16308
+,8810,19733,14485
+,12601,6203,13576
+,10279,9987,3728
+,1525,18912,3580
+,13005,6707,9074
+,14715,955,13925
+,6149,15640,17211
+,2766,3893,2005
-,806,0,0
+,17119,5438,7975
+,10328,8646,10291
+,5174,19651,5390
+,1078,7426,3820
-,732,0,0
+,11756,18112,16126
+,4140,5436,2012
+,16978,18178,9920
+,264,13426,10667
+,7170,11989,3077
+,16125,15905,18120
+,16183,620,5000
+,18045,15227,4757
+,11685,9005,6787
+,5586,12802,13629
+,6790,13765,16417
+,1418,15023,10741
+,11072,10064,7264
+,785,14127,4599
+,18402,5848,2861
+,6883,11552,17330
+,2633,3692,15466
+,15193,8785,756
+,16015,869,17463
+,16755,18527,3496
+,15226,8086,13173
+,3547,8325,7446
+,14996,2377,14687
+,9916,7158,1508
+,13836,5344,8679
+,2850,13045,19257
+,12552,13223,2832
+,7667,3909,2346
+,11811,13830,16734
+,10519,862,10206
-,428,0,0
+,10272,11980,15434
+,9046,5757,10583
+,8286,16039,14525
+,11976,18117,1728
+,19177,2290,12920
+,2705,3521,8777
-,56,0,0
+,2173,1771,18231
+,262,3816,15430
+,19711,16847,766
+,9884,2169,19684
+,2223,1773,12366
+,3315,16136,4846
+,5145,8367,2102
+,16584,4258,11684
+,15339,5208,683
+,11293,19238,6963
+,14945,16305,19893
+,8431,6921,9389
+,4730,6848,11746
+,14138,14028,19843
+,4149,4212,9262
+,2843,3814,14631
+,14701,3451,1790
+,7819,9047,793
+,5152,7883,1870
+,14598,15770,2926
+,1911,14577,2455
+,12997,3164,17249
+,1043,535,14405
+,7189,4606,12180
+,14342,4947,512
+,4177,15243,5961
-,638,0,0
+,10274,1652,12330
+,9755,3397,3530
+,2960,16990,3608
+,8942,10178,340
+,1130,2541,6292
+,3564,2472,132
-,653,0,0
+,12270,14649,3535
+,17253,11502,19534
+,15159,8030,12357
+,714,19956,2548
+,13915,16231,14750
+,18031,12815,6988
+,6354,17603,4331
+,136,12914,12367
+,5901,9474,15598
+,4089,704,14953
+,5429,11219,6098
+,6349,110,15232
+,18840,17526,13961
+,890,7531,11226
+,5356,18056,8135
+,16328,1661,10408
+,8031,8887,18676
+,11101,6304,538
+,48,7218,2481
+,19619,7023,6776
+,1503,4976,16185
+,18391,1488,14271
+,19032,14244,8017
+,2932,9279,19453
+,8746,19720,960
+,3972,2454,488
+,263,15769,4035
+,1231,7178,3758
+,16472,3034,13294
+,12976,15233,5807
+,14344,12087,12479
+,17286,8315,10657
+,19564,12850,16555
+,18721,18482,4734
+,11500,14576,18387
+,11956,14635,16257
+,5991,19818,18048
+,17626,17498,2155
+,4343,2629,6125
+,4718,972,1315
+,1141,3707,18961
+,8259,14369,7996
+,12338,8707,847
+,10051,2452,3403
+,12779,16197,3410
+,18177,14399,8645
+,3042,15254,12475
+,18546,6330,12572
+,6268,4806,5786
+,16286,1224,13893
+,6434,13799,560
+,8996,18269,2418
+,11672,17259,2384
+,1837,3103,2658
+,19927,3671,8229
+,9212,12934,17296
+,7201,17514,15528
+,19391,13620,6568
+,17208,16365,3077
+,17910,2711,16749
+,16929,579,13044
+,16169,18214,15768
+,49,4725,13214
-,713,0,0
+,16918,13210,6248
+,16026,15522,18985
+,619,15127,634
+,9652,1332,1357
+,16629,2906,15118
+,3225,1132,6345
+,9280,15854,19591
+,17519,4437,17073
+,15070,3801,19304
+,2691,17551,8017
+,6958,13606,15269
+,17593,6938,3643
+,17981,13809,10605
+,4519,3122,15529
+,950,17086,9348
+,14616,11531,15307
+,7523,2649,15623
+,11963,5503,7635
+,278,11215,16599
+,6758,6222,7318
+,15271,7199,12928
+,14070,8456,12934
+,6187,10428,14824
+,3712,18688,10566
+,6172,569,7684
+,16698,3616,5211
+,9583,17528,14612
+,5849,19143,11945
+,17604,3146,8884
+,9414,9241,16118
+,15835,11683,9613
+,8277,17048,2048
+,13522,17289,3669
+,3378,13057,2762
+,14060,3303,18478
+,12985,7026,11539
+,252,19821,2465
-,860,0,0
-,904,0,0
+,10463,603,9910
+,17327,9880,7697
+,13636,6817,13725
+,7349,2715,18884
+,6655,12021,4615
+,6359,609,14500
+,181,3263,4150
+,1431,10088,4427
+,13991,14182,11378
+,15273,14052,3834
+,17426,18352,5167
+,16294,12169,4406
+,7107,11600,13270
+,392,18977,19622
+,4220,14419,14111
+,5116,10553,16581
+,18714,19145,8193
+,11418,17516,17689
+,14029,7801,14184
+,17156,9558,2360
+,16219,16303,11120
+,7526,11131,15056
+,4666,11471,11290
+,19828,18996,8982
+,2130,3703,14575
+,9106,2100,17756
+,10851,11166,2878
+,15443,948,5304
+,7955,3982,2437
+,18766,17610,9576
+,19641,11562,4342
+,5056,2446,8699
+,10638,15795,5859
+,7338,3292,6382
+,11464,19697,3378
+,18931,17025,9428
+,13337,10491,17324
+,11216,5031,842
+,17853,8723,8335
+,9375,6006,18175
+,6691,8899,11263
+,14434,2734,7049
+,6618,11223,6272
+,16864,1501,10358
+,17100,9208,12611
+,19029,2971,8023
+,12007,2390,4557
+,15640,13321,1012
+,2562,5618,4844
+,17049,4633,5044
+,9981,4314,3213
+,2648,14926,7789
+,4526,12367,11918
+,852,12619,2613
+,6755,10248,3229
+,19841,2296,13242
+,2038,4727,14241
+,4308,21,19438
+,3199,8033,8570
+,3051,14450,2527
+,10125,14827,2769
+,11273,5897,95
+,5993,11609,13255
+,13115,17056,7180
+,16570,11245,6981
+,7855,17569,5076
+,7891,5007,17016
+,14171,7520,10701
+,18600,16744,17608
+,6335,12693,2451
+,3399,19609,10462
+,9404,10894,9965
+,11352,11316,7820
+,4497,5078,2734
+,16325,2238,8271
+,13780,3134,4144
+,11681,6058,4525
+,2721,5644,16204
+,6075,13362,18516
+,4126,15698,8205
+,15776,15699,17811
+,14683,8255,696
+,8718,12329,10609
+,1448,9352,625
+,5952,6469,4509
+,1888,8419,12488
+,3941,1356,4637
+,15623,523,17781
+,9353,8018,1372
+,6008,18836,5283
+,5359,9965,1138
+,14059,12602,2750
+,14869,394,5833
+,2413,15100,15675
+,6908,3437,7915
+,19409,19640,13057
+,4267,13256,17008
+,2003,4705,10107
+,1753,13365,11600
+,7587,9782,12100
+,12291,4140,19245
+,11159,10194,0
+,19668,1814,19442
+,17628,2136,3996
+,7551,19132,18608
-,841,0,0
+,15403,12054,12383
+,15387,3223,18297
+,13461,6979,4436
+,2229,642,16361
+,10613,1950,1794
+,18703,11498,17782
+,1530,18128,19858
-,341,0,0
+,7140,9724,6256
+,18838,8722,5959
+,9073,15055,10986
-,13,0,0
+,16597,15882,5451
+,13728,17806,1889
+,1116,13922,7351
+,3114,8052,8886
+,7079,18465,10490
+,7815,13082,5609
+,15468,4112,297
+,18102,6074,14023
+,12332,14678,9587
+,17515,19248,18585
+,218,7170,4068
+,9896,14464,338
+,1254,15435,785
+,9761,17834,7004
+,13423,168,159
+,3246,5693,13609
+,18910,10113,977
+,16081,988,19938
+,10058,9619,17013
+,3191,18746,9688
+,18152,19891,19561
+,18802,10283,4900
+,12225,8116,9629
+,8589,2870,12314
+,8652,13892,9905
+,5217,15891,15033
+,921,1912,3210
+,16231,2694,7432
+,19914,12521,321
+,4484,16140,8609
-,25,0,0
+,3775,15690,4530
+,1527,13935,2576
+,6525,7063,5335
+,2117,12727,16151
+,16674,16296,9526
+,11386,3132,8126
+,11584,8533,3906
+,878,9135,1216
+,177,17613,13849
+,17688,18094,11489
+,18466,707,8866
+,13077,6188,763
+,11055,228,6309
+,16229,7944,4750
+,5093,6929,2438
+,17838,5487,11630
+,11916,6872,2259
+,16990,15527,2893
+,3001,17070,2131
+,16372,6002,3664
+,19299,15760,5136
-,773,0,0
+,2663,14404,6257
+,13561,7098,12685
+,3019,8908,1884
+,1845,12844,19099
+,3838,13980,9911
+,10932,13338,5884
+,16566,19607,4803
+,15228,19781,5798
-,361,0,0
+,9954,3304,15417
+,17698,16663,9564
+,11687,9953,6295
+,11295,2443,10809
+,9244,3768,16300
+,8797,2757,7457
+,14331,17817,3388
+,3312,9639,18042
+,1650,9099,2547
+,8064,17575,19321
+,9076,883,5657
+,4646,8875,17352
+,9118,18905,13456
+,6733,4985,6230
+,1596,5596,6249
+,18141,2453,18612
+,9056,18024,2897
+,17582,9361,12641
+,14883,12440,2989
+,16721,7009,4811
+,12168,13575,16088
+,17745,5431,4008
+,17737,19291,14414
+,3616,9249,5890
+,17364,8552,15417
+,1535,2885,19749
+,11543,10785,12131
+,13573,14109,8865
+,19535,3187,8658
+,721,6268,19007
+,15840,8222,15852
+,6077,18118,18456
+,11344,7083,7700
+,17782,11332,9252
+,11899,17254,19589
+,12982,8735,15582
+,6375,3576,19981
+,10701,3216,1881
+,5754,17321,9607
+,8214,9441,12970
+,17107,13575,3949
+,4672,7760,16239
+,10635,14786,4930
+,15622,8008,2972
+,6311,5730,559
+,11721,4623,13574
+,9866,10060,19926
+,13496,4645,8393
+,8308,2598,7931
+,18821,12782,2220
+,19785,1533,6219
+,3869,18234,5658
+,1181,2244,16499
+,6490,142,13625
+,10614,16294,8712
+,19214,11526,19240
+,14936,2037,6664
+,12447,9790,2675
+,10448,19758,12531
+,1415,14267,446
+,8637,15352,16460
+,9132,6857,11311
+,4510,8917,12452
+,10124,16638,11485
+,904,3529,493
+,1612,15361,7329
+,3336,6535,1983
+,2775,16542,3556
+,15209,18945,18757
+,11253,9947,11313
+,2976,16138,13847
+,17367,7464,18853
+,6399,15475,8841
+,9333,2056,19384
+,789,1702,10049
+,14909,1471,18589
+,9361,529,13256
+,10872,12499,16183
+,8538,3078,4599
+,10754,14992,873
+,9543,4594,9810
+,247,13441,10885
+,12538,12631,5708
+,5261,16239,5971
+,6243,17300,16404
+,1642,6874,5291
+,12584,8980,11047
+,10535,15923,3351
+,14255,18559,14807
+,18138,3797,3171
+,7220,7027,7553
+,4035,13040,17620
-,411,0,0
+,10625,11143,19577
+,18365,17196,14996
+,13662,4685,1465
+,18315,14313,12707
+,9988,6902,18835
+,18595,8871,6552
+,3117,15894,1718
+,9944,15365,1214
+,14480,3773,7327
+,19525,2042,52
+,1205,14365,19702
+,6947,3096,5059
+,457,9170,2258
+,11896,16377,5566
+,17949,10151,16134
+,19580,5747,19728
+,17811,8112,13811
+,16499,3506,3539
+,5579,14865,10070
+,10827,14391,15157
+,17839,18635,7503
+,19440,13916,8764
+,14011,1813,18234
-,712,0,0
+,979,17272,18782
+,6367,3238,4049
+,17488,7931,933
+,15742,18319,16818
+,3626,4343,17460
+,17071,5955,11896
+,7265,18926,15446
+,17416,8462,1672
+,13900,10680,7555
+,12040,9362,18657
-,864,0,0
+,19662,9218,11630
+,3764,2785,2790
+,2851,1006,11028
+,8711,17198,573
+,11727,12555,9239
+,17632,11333,12641
+,17649,10021,4072
+,7885,9876,1317
+,19519,19774,1924
+,1167,18293,18381
+,5257,18500,19997
+,6582,14365,13865
+,5951,16218,1053
+,2055,19122,529
+,11943,13424,579
+,7686,19240,16016
+,14708,12479,11901
+,5469,14096,11004
+,8781,12762,5660
+,17271,16089,18294
+,6140,12886,9747
+,3822,18748,11814
+,15808,15530,12273
-,605,0,0
+,17612,8861,5126
-,494,0,0
+,12151,8254,6449
+,13741,152,19551
+,5321,5762,10111
+,18809,3321,951
-,217,0,0
+,19906,3457,2456
+,6635,2073,5750
+,16108,10730,6771
+,5275,17246,19692
+,6542,10958,4005
+,4663,7088,5097
+,15459,13637,13839
+,11276,13441,16240
+,19977,3885,8475
+,14726,8884,17140
+,6846,6528,15251
-,629,0,0
+,3284,14380,17628
+,6701,4851,12038
+,18578,11855,2665
+,8278,2104,6712
+,14526,15078,8787
+,18603,4131,7855
+,7251,17221,3296
+,3332,15379,5626
+,4003,9807,907
+,11758,13900,3069
+,12873,2553,7771
+,4228,12997,2581
-,413,0,0
+,18560,12482,13792
+,3236,4982,18146
+,710,17535,9720
+,7847,7755,18241
+,4864,5796,13046
+,2971,2184,17369
+,18082,16130,7095
+,17040,15450,6378
+,256,927,10414
-,781,0,0
+,3184,14258,17615
+,7212,5437,8786
-,496,0,0
+,17547,2220,5411
+,12954,7462,2933
+,19846,18718,18909
+,2424,13258,4550
+,6533,18661,1953
+,10336,5719,12047
+,13050,6831,5624
+,10815,6277,11161
+,7671,10180,6571
+,5847,17016,14244
+,17392,14294,9505
+,8041,8374,9081
+,16224,4717,3628
+,9654,12839,16689
+,12347,16844,8907
+,19689,10142,9574
+,7451,18417,5238
+,12403,13429,13767
+,3488,7253,16296
+,14783,3009,4768
+,5821,12108,12911
+,19690,9468,11692
-,403,0,0
+,7784,15461,7359
+,12518,10124,6821
+,14054,5826,7653
+,19316,1489,7900
+,11337,16447,7760
+,17601,802,9340
+,5391,5736,11487
+,13608,837,9703
+,12507,8001,1526
+,19907,858,9359
+,7309,6888,4500
+,7688,3160,17248
-,848,0,0
+,5627,11569,6948
+,6948,4948,9503
+,6671,14780,18091
+,3139,1345,9374
+,4331,7306,2063
+,3224,18646,2342
+,17921,18403,1180
+,14083,4652,8804
+,10044,10158,9695
+,3251,8423,14663
+,11814,5120,4106
+,9792,2300,11316
+,12272,10057,15720
+,19524,14327,3384
+,2861,15412,8327
+,4253,8561,17460
+,6423,14592,16440
+,8749,13114,3662
+,12671,10204,9165
+,18434,13200,3832
+,2132,9354,39
+,1632,1541,3530
+,10671,8588,10904
+,5383,4048,6252
+,16509,4037,15080
+,13620,7172,14284
+,16923,17553,3189
+,519,5628,11757
-,239,0,0
+,13869,9081,16357
+,19261,2178,17790
+,17976,13393,4695
+,13907,13542,4176
+,18492,17028,19605
+,5750,5128,3241
+,7025,17309,13700
+,6809,9636,7552
+,14483,11104,14731
+,3303,1451,176
+,12504,7159,46
+,14394,2216,18573
+,18440,4287,12868
+,308,1972,342
+,2920,2668,2937
+,7247,2638,19211
+,1879,14289,15983
+,1670,4526,13646
+,18715,9415,717
+,19930,5911,10612
