OP,A1,A2,A3,A4 
+,8264,16,8905,5889
+,7049,333,348,6551
+,4663,6558,9989,5165
+,2190,945,3862,4216
+,8439,6820,3100,2459
+,6088,6426,1123,1263
+,7788,855,342,9096
+,7425,3824,6391,1571
+,3300,8907,9087,6724
+,3943,4940,5349,6830
+,9157,4417,4606,5295
+,4750,5257,8688,9119
+,6438,7753,436,8935
+,600,6424,9051,9817
+,9162,2586,7700,9909
+,8049,6409,5471,4898
+,6917,7553,6906,2882
+,9760,2339,95,7411
+,2865,5640,632,8843
+,3736,1180,8021,4891
+,1117,586,8577,6335
+,4850,1394,9252,7784
+,9733,2594,8830,6620
+,4446,2163,28,7213
+,1994,6730,6993,4327
+,3372,7442,8702,3535
-,578,0,0,0
+,4557,8465,3048,3474
+,4053,996,3440,5450
+,83,2698,8321,224
+,7088,1024,7400,571
+,6511,9102,3604,295
+,6704,5251,6809,2924
+,5314,2043,4114,6433
+,3305,3830,7330,2865
+,2570,4855,4018,3645
+,8981,5000,3344,794
+,9418,2931,1424,1871
+,7664,8397,8455,7653
+,4137,9678,3728,2659
+,5809,3081,9975,2362
+,3018,4883,6997,801
+,1092,2957,1005,530
+,3189,9185,3156,2077
+,2125,8807,4,4483
+,1574,619,6694,488
+,873,4936,850,3754
+,7333,7185,5297,58
+,5127,9667,2233,3463
+,2461,7450,8100,7613
+,9080,5550,6526,3542
-,410,0,0,0
+,5916,3765,2310,9795
+,5592,4936,7356,1011
+,120,5774,4967,7325
+,3180,9039,8808,3204
+,465,7296,5137,6773
+,4688,6976,2240,7966
+,749,7816,3834,8495
+,6584,2151,7002,6566
+,9683,2003,1385,3268
-,664,0,0,0
+,1921,4881,941,5640
-,726,0,0,0
+,9381,2584,2141,7116
+,1381,3099,4958,9905
+,4577,3835,9055,1299
+,7376,2969,300,2917
+,5417,3470,5623,5752
+,8540,1987,2601,6773
+,6582,4311,2952,8140
+,9936,737,5134,7150
-,653,0,0,0
+,596,5569,4675,6399
+,5371,1898,5730,7845
+,7422,4720,1972,5695
+,1300,6488,4607,4190
+,9049,6834,7473,4169
+,1111,4576,6720,8143
+,6945,2421,2009,8456
+,9312,657,2084,9729
+,9023,307,8669,6310
+,2063,2455,9651,9809
+,8860,9882,2493,3740
+,8227,9336,8088,9240
+,2137,5298,8548,1892
+,4149,7182,4353,6008
+,4173,5963,9647,1609
+,7774,1905,8088,5539
+,9902,4404,8442,7069
+,8408,5083,2269,5651
+,1496,3156,1392,7156
+,6477,4902,7841,5110
+,20,3724,951,8499
+,5202,6812,678,3176
+,4472,9126,4734,7401
-,88,0,0,0
+,8661,2008,8329,9406
+,5106,9194,9341,4044
+,2822,9929,5062,1049
+,7914,5655,9974,2444
-,985,0,0,0
+,4989,206,8053,9334
+,71,9751,7492,1448
+,1426,8017,8865,5288
+,783,7424,1314,4792
+,197,170,523,4127
+,4531,950,8905,5107
-,753,0,0,0
+,6996,7638,9871,6539
+,8110,9026,5245,7317
+,7113,477,9924,4240
+,463,9411,6477,95
+,1784,5486,154,3914
+,5918,6921,2918,6534
+,4770,7863,8762,7629
+,8953,9176,5188,7387
+,6793,4646,8799,5833
+,1405,5503,2288,9746
-,8,0,0,0
-,853,0,0,0
+,2102,1316,5402,2239
+,7435,4129,7899,9123
+,8210,3513,3562,8899
+,5548,7030,4117,203
+,8057,8824,1286,9327
+,1430,5160,6829,9691
+,5826,2125,217,7964
+,5361,3434,2192,5423
+,1644,1297,1396,9165
+,3428,3323,7275,5423
+,2920,3056,9929,8601
+,7619,3322,3363,9842
+,5546,3596,2091,6449
+,8326,2519,7856,5799
+,5002,9759,468,1082
+,8500,1819,6368,3655
+,1225,4086,4153,1563
+,6462,7815,888,1040
+,5315,9434,1937,2364
+,5588,465,803,7100
+,7438,3613,3948,6519
+,116,7696,4842,1148
+,9528,2510,9332,3324
+,6570,4328,4866,879
+,9256,7178,8472,4557
+,5099,2630,1467,2504
+,6322,250,5053,646
+,3450,170,2096,539
+,3146,9007,4776,7063
+,7175,7639,5788,2826
+,553,9685,7626,4729
+,5580,6565,8204,344
+,3301,3675,5364,5474
+,272,1965,4854,7162
-,64,0,0,0
+,9401,3115,9748,5789
+,7509,4997,7001,8756
+,4148,9342,6022,1263
+,7034,4442,7591,7043
+,191,3698,6016,5677
+,8611,3243,2338,7775
+,6690,9453,7056,2941
+,7242,1306,6591,754
+,9643,6694,8844,299
+,3576,1128,1345,3046
+,658,9460,5533,2200
+,7829,4400,4946,1181
+,6491,8441,8239,1185
+,8865,7978,5203,2532
+,6918,3404,460,4404
+,2003,3837,1399,6958
+,9759,5709,2946,535
+,2418,2303,472,5688
+,1587,8145,4096,8636
+,2049,4661,1091,1136
+,2782,9014,6857,7001
+,5446,2823,7139,4684
+,29,4959,7738,2134
+,5278,2538,7788,4851
+,7401,761,3549,1094
+,8519,7024,4098,6622
+,7000,4812,2479,6668
+,2502,5876,5820,3235
+,8658,4398,9443,9024
+,5194,2451,3856,182
+,5610,7724,7465,2004
-,588,0,0,0
+,8471,3634,2912,6437
+,2261,7267,4614,9380
-,19,0,0,0
+,4099,3156,1121,9563
+,4251,5650,348,4396
+,9040,3421,5348,2283
+,9770,6995,2547,9266
+,4138,8822,6162,256
+,383,813,9914,7271
+,4657,3573,56,5564
+,919,3907,465,9074
+,1417,4342,6309,927
+,8421,9468,5527,9311
+,635,1233,737,9598
+,6112,2172,2008,6762
+,1556,9825,869,6290
+,5605,8422,8871,3781
+,1437,8912,8181,20
-,548,0,0,0
+,8808,6865,3225,6014
+,9472,1814,5676,2527
+,9488,239,9077,4748
+,1894,9342,7314,7765
+,4624,5660,319,2122
+,3844,9060,5897,6675
+,4108,440,5227,1466
+,6979,254,4023,5541
+,6344,9252,966,5949
+,4145,4699,5827,4122
-,822,0,0,0
+,6369,99,8161,4368
+,243,5871,5719,6499
-,829,0,0,0
+,6227,4611,3900,3738
+,6186,9825,9187,2444
+,8754,5049,4430,6429
+,2595,8435,155,3406
+,874,5225,6003,9023
+,3669,5084,3851,7370
+,426,4713,4487,3129
+,5140,8362,3299,5492
+,7395,2606,7939,5703
+,5277,4786,2360,3011
+,7923,9144,2428,7581
+,6284,8741,8028,2538
+,9828,1669,3881,187
+,9111,8248,4680,2246
+,4033,118,3608,5149
+,7530,9078,5264,7689
-,883,0,0,0
+,1361,4180,2624,4172
+,8316,7330,2273,9952
+,7283,1820,5649,5010
+,3651,8881,5732,5941
+,6007,9585,5834,6467
+,9803,2795,7684,1620
+,3381,3732,8774,3884
+,2886,5352,1408,5160
+,38,8212,8430,9941
+,4139,1439,4807,3251
+,4370,1040,2370,4518
+,8476,9188,4598,358
+,6057,47,7287,6891
+,7523,909,4490,6391
+,2205,6513,3058,7634
+,6731,8951,4661,4322
+,4115,8202,15,6535
+,2136,1355,1830,1991
+,381,7130,5121,6025
+,4774,5708,9302,4235
+,3577,5198,7326,4657
+,6078,5064,1038,9613
+,4239,432,9256,1573
+,6542,1734,917,9256
+,6178,7382,714,1596
+,2405,8195,1479,4664
+,269,779,239,8789
+,5438,5872,7761,5903
+,18,5230,9968,4576
+,6202,30,7743,5571
+,4679,2121,5679,8194
+,2800,6997,3552,7716
+,4241,1659,7960,3251
+,1442,7396,8265,6320
+,9239,8406,106,9061
+,1545,5730,1224,4164
+,2760,3370,3700,2395
+,1052,3111,6666,7481
+,558,1629,2512,1866
+,8116,746,874,4307
+,688,8678,521,2557
+,620,3095,5285,6162
+,1142,1091,2815,480
+,2409,9015,9098,156
+,4856,5150,5083,7787
+,9359,3793,5536,1593
-,576,0,0,0
+,5729,8119,4020,2067
-,144,0,0,0
+,3486,3459,7441,1483
-,33,0,0,0
+,6177,3290,3680,5472
+,1878,7733,1885,7447
+,3421,1571,3006,184
-,182,0,0,0
-,426,0,0,0
+,4631,9380,5357,839
+,5172,4034,1517,8843
+,6964,2900,3149,4166
+,1429,6162,2393,4196
+,9787,6913,1066,8511
+,4039,8936,9096,6840
+,7258,3437,8106,6185
+,3625,6216,9569,5164
+,3952,6765,484,2967
+,6805,352,1368,8019
+,1431,464,624,940
+,4212,7152,7615,8594
+,2802,2133,171,9277
+,1087,6727,5116,29
+,1459,7056,7356,2619
+,3733,6053,3738,9651
+,3702,3277,9410,8583
-,641,0,0,0
+,1100,3758,17,2495
+,1385,6734,6501,408
-,136,0,0,0
+,8351,7586,3898,3301
+,44,9348,5521,6727
+,6605,5285,9434,2025
+,9789,6812,9570,5884
+,3737,480,2735,343
+,4345,7910,4335,457
+,7159,4359,2285,3236
+,2452,7501,677,272
+,851,5296,8011,4478
+,2845,6024,3245,6627
+,5928,6887,9498,4486
+,1504,9229,9605,9600
+,6770,8791,5736,2086
+,6977,3355,1681,459
+,8695,8420,6010,3873
+,1744,7041,5012,1090
+,1014,6368,2725,2287
+,9373,56,8000,90
+,5828,9407,4581,6661
+,5870,2581,8368,613
+,9139,4633,5041,6183
+,3051,4924,4681,1281
+,516,5288,1175,6236
+,1171,109,1221,4328
+,9391,4081,6599,1557
+,1309,9769,994,6793
-,564,0,0,0
+,5288,3510,6774,9783
+,3525,5542,5550,2764
+,1226,1647,1930,9107
+,642,6971,1759,5806
-,174,0,0,0
+,9822,5756,7467,2523
+,2618,1820,9541,6955
+,8044,9173,5045,5754
-,213,0,0,0
+,7655,144,9765,8174
+,6531,4966,4812,3252
+,1877,4267,1667,3592
-,282,0,0,0
+,5965,4784,7398,1504
+,3231,4266,2577,5173
+,8320,3860,2915,3244
+,4763,625,180,432
+,4059,7612,733,6962
+,2247,3318,9959,7824
+,1976,4990,2192,3395
+,5534,1067,521,404
+,6062,3964,8909,8401
+,3967,9150,9092,3759
+,2697,6746,551,4400
+,8598,5995,1536,4223
+,1342,5946,6247,7976
+,4398,6364,436,1653
+,1020,6354,1171,3056
+,2113,6595,7354,5969
+,6379,8021,8145,6489
+,8272,761,8353,8937
+,8565,8244,6496,7971
+,6295,6200,2163,6708
+,9955,2731,2880,2800
+,2377,8222,9661,7687
+,172,3775,2640,5172
+,3851,345,6756,2982
-,114,0,0,0
+,8268,5519,1790,4601
+,9434,4523,6378,398
+,4922,9992,6691,5693
+,3971,5544,8285,5166
-,956,0,0,0
+,5658,4073,4942,9297
+,6134,4153,9850,3434
+,7489,5652,6121,1262
-,394,0,0,0
+,9451,6970,7311,7596
+,3369,725,6274,1806
+,9898,3204,5544,6046
+,7064,7271,4563,6516
+,7087,474,1943,5273
+,3041,9311,6645,4747
+,7975,2110,9823,6840
+,7693,403,5687,446
+,8176,9773,6514,7725
+,697,2824,1844,6793
-,350,0,0,0
+,8591,8507,2092,9132
+,9358,2264,1754,2122
+,9588,5971,7824,6682
+,3548,9167,2719,3254
+,1798,2285,6716,8065
+,1569,2017,1272,4485
+,3081,3347,9382,8154
+,2398,4140,9957,5286
+,399,7990,2615,6093
+,7834,7712,6730,3717
+,8830,7736,3214,79
+,9266,5925,3891,1734
+,68,1778,7942,487
+,2370,9718,4878,1828
+,2448,7771,241,4110
+,364,1514,6882,4263
+,4315,3520,1032,585
+,4793,674,3953,2231
+,8589,9305,9986,5200
+,6748,8831,8674,260
-,371,0,0,0
+,7029,7827,1791,5944
+,8926,6896,8065,9861
+,4775,1964,8735,1999
+,7018,3642,3079,9646
+,8811,100,6240,2374
+,2400,4193,5627,1949
+,7545,3020,9137,244
+,6603,3041,5150,4409
+,7658,5016,54,3670
+,5564,8899,6641,2714
+,8788,9070,768,7087
+,9966,6775,9956,163
+,8121,9665,7352,3572
-,879,0,0,0
+,7292,9536,2301,6934
+,8100,6618,9086,9607
+,4674,7847,6183,6850
+,6363,6454,9204,6247
+,6831,6461,6061,2859
+,1207,6322,9757,4330
+,4986,6220,6618,8836
+,3036,9566,1047,6022
+,7057,5661,5098,9531
+,8453,7843,2969,3471
+,2968,4488,9740,4769
+,8553,4310,4225,9826
+,4852,1628,2496,2951
+,5283,9269,8621,4936
+,6021,7803,4332,8981
+,8226,4378,6138,5316
+,3751,5331,1558,2672
+,8129,4680,5762,5076
+,8945,1484,2646,5637
+,6569,2339,1672,1697
+,5459,341,6354,86
+,2613,7458,1158,3367
+,5974,9699,3665,2806
+,7597,5197,45,1784
+,8484,8277,5421,4300
+,6261,5189,2119,8514
+,8422,9672,6918,9875
+,3853,1320,3120,8654
+,5253,5697,4768,6141
+,5414,5406,8157,2368
+,3244,7875,4481,984
+,9290,1726,7606,8629
+,1205,2195,4610,6939
+,4413,1971,934,8465
+,3052,568,1099,742
+,7132,2822,5072,8117
+,2059,2042,3945,6263
+,2313,4884,3093,8102
+,3183,1612,2172,6349
+,7746,2693,2947,3857
+,4739,3173,7728,7283
+,4649,1551,2656,1341
+,6330,2896,6550,6694
+,4211,4735,5850,4025
+,3871,8418,7367,4457
+,5904,5138,1563,8266
+,4189,3040,8871,8006
+,3148,2550,4162,5861
+,788,151,3050,8890
+,866,6818,6785,3485
+,739,4974,8177,8306
+,3857,4818,1377,4129
+,8571,4903,5182,8747
+,568,9848,7434,3790
+,5200,5236,3484,7984
+,1948,9836,6738,611
-,396,0,0,0
+,5344,2325,2670,6424
-,138,0,0,0
+,687,5283,2341,4797
+,3032,6019,8531,5650
+,7849,4325,94,9
+,6066,3012,766,3002
+,2041,8146,2126,487
+,8008,6183,5581,8085
+,343,9656,6120,3039
+,1265,1113,2328,9977
+,2160,2836,5260,4331
+,4743,8487,5879,3919
+,9067,6600,376,2630
+,8170,7176,7429,4510
+,8280,1325,4434,7605
+,4407,3138,174,8548
+,8045,5693,2530,9316
+,6464,6013,4008,6315
+,1806,9767,9903,4369
+,9217,7632,7161,5855
+,9272,2739,6157,833
+,7069,4758,6866,8076
+,4372,8152,2605,3704
-,704,0,0,0
+,743,3606,3989,7547
+,9646,6233,3630,8544
+,6413,5673,2559,2741
+,2803,6579,9196,6053
+,7637,5699,7757,4088
-,641,0,0,0
+,3441,6183,5640,6047
-,998,0,0,0
-,540,0,0,0
+,769,8353,4400,8243
+,100,6875,9585,6737
+,8373,3447,9382,1454
+,4170,959,9785,2069
+,5413,9813,4996,4980
+,2148,1844,9458,5265
+,294,2748,2445,2998
+,7608,6920,3343,4857
-,412,0,0,0
+,8069,9215,6638,8313
+,4843,2482,1596,7618
+,5318,4958,3080,7884
+,4130,5079,5937,1465
+,1193,1737,9164,7232
+,5184,9481,3084,6575
+,7394,8095,6797,7776
+,1862,2924,850,9029
+,5739,7916,8912,1206
+,4581,6026,1530,1897
+,7181,477,115,9201
+,9133,7968,1431,5806
+,1689,8862,3551,860
+,8181,20,8003,2767
+,6821,2772,2306,8511
+,2389,7138,8258,7541
+,7411,9796,2354,357
+,7768,7990,8047,4578
+,9636,3063,6507,6026
+,9552,897,7423,3159
+,9053,9911,1029,7986
+,5396,7106,4085,5375
+,7460,6019,5178,8867
+,4024,6690,1908,9657
+,7726,8418,385,6370
+,7370,6471,7209,3582
+,1160,4623,3218,8050
+,3840,6484,5840,445
+,6941,4614,9550,7172
+,6297,2043,7264,404
+,8497,9309,4234,6238
+,9542,4157,8956,61
+,1648,3184,4431,4498
+,9815,3558,1131,9350
+,5384,1427,6910,8051
+,354,5165,9779,2143
+,4799,7129,2745,5167
+,89,6340,9392,4863
+,5543,1676,8750,9201
-,970,0,0,0
-,632,0,0,0
+,5290,5976,9199,9411
+,7208,3763,9823,6849
+,9311,7061,5124,4869
+,4848,6077,3966,2746
+,8447,4188,5348,6568
+,527,6567,8669,2538
+,7212,2296,7938,6095
+,3931,8231,9080,3001
+,3956,1023,8566,909
+,220,3030,637,6181
-,956,0,0,0
+,9116,3249,1200,3051
+,6923,6434,2084,5380
+,9735,9448,669,2252
-,99,0,0,0
+,4013,6085,2158,3753
+,6559,9156,7281,12
+,7040,1087,8830,9200
+,2574,2362,1306,9809
+,7603,6780,1539,4723
+,4227,4633,1735,2556
+,7409,1574,9591,3335
+,7402,6177,3461,3451
-,914,0,0,0
+,5792,1674,1579,7942
+,7452,522,3513,763
+,2066,2281,4812,7185
+,1782,3532,810,7324
+,7553,3276,8843,8557
+,6940,576,8308,9107
+,1753,5037,7465,5658
+,5837,1591,8,1706
+,4767,6631,6127,6517
+,987,1592,9863,1583
+,2616,5696,5944,2370
+,9554,1797,2920,1851
+,8079,9915,6049,3902
+,4231,3534,8653,7805
+,3064,3367,49,5399
+,2320,4652,9747,4984
+,6310,944,1651,2252
+,5589,3686,432,2311
+,913,3927,4254,9259
+,22,2912,1418,9042
+,9986,5517,7103,5626
+,2388,2870,5215,7843
+,3068,5016,2580,3369
+,4181,3429,4300,3645
+,91,799,2598,2487
+,7180,8148,9730,9301
+,4878,851,737,4527
-,633,0,0,0
+,2775,2736,3003,9321
+,5248,6589,3534,4970
+,2752,1469,7609,7606
+,3518,3469,4051,5006
+,5801,5162,6030,5945
-,63,0,0,0
+,7231,4500,4212,6782
+,3605,4974,9824,1820
-,701,0,0,0
+,3030,1241,9813,3742
+,5998,2706,2711,2603
+,7190,7725,5778,3560
-,374,0,0,0
+,7177,5841,3491,7103
+,3138,6765,7198,7553
-,997,0,0,0
+,1973,3458,1915,5549
+,4100,3324,2931,7720
+,7338,6494,2731,3392
+,7417,9542,6501,2976
+,9559,3021,9676,1444
+,9202,8193,4949,6324
+,3085,3086,3363,4979
-,578,0,0,0
+,7764,3013,1491,520
+,4514,6810,541,3463
+,7013,5556,2710,3210
+,7164,518,874,5674
+,6270,442,505,4834
+,9156,2013,8330,2078
+,7762,2501,1204,1
+,3362,9191,8917,4926
+,7857,8256,8439,6698
+,3485,6731,5384,1540
+,5062,736,3886,6497
+,9941,7718,9232,5984
-,45,0,0,0
+,284,4408,520,1052
+,1368,2464,3473,2703
+,117,2962,917,4532
+,501,3458,7464,9305
+,9842,5065,6374,2560
+,9706,3651,4896,9294
+,8459,7053,8156,2516
+,1339,2216,327,7320
+,8276,1027,3548,4222
+,2135,7666,242,264
+,6497,3547,9254,7493
+,1965,6919,7591,7298
+,721,1075,3414,9010
+,3510,5945,4236,5397
+,1404,4726,6423,540
+,7937,1399,7324,5838
+,1307,3181,1574,8096
+,2527,4479,912,728
+,5489,8937,6029,3973
+,8597,7135,9604,5665
+,5662,278,8563,5479
+,6753,5308,1965,3847
+,9631,6477,6563,2235
+,5313,256,5374,2748
+,9947,6287,3785,3749
-,866,0,0,0
+,4748,909,9962,1322
-,586,0,0,0
+,9191,2461,2580,5319
+,8115,1910,8791,9819
+,9724,7844,401,4213
+,592,1181,1337,3298
+,6932,6697,9851,7307
+,8917,2670,2085,7299
+,6649,4249,4925,3165
+,5553,486,6157,1541
+,8140,5442,6585,2283
+,5447,1112,4456,3491
+,17,4349,3981,9596
-,683,0,0,0
+,94,1180,8180,7186
+,2643,5341,7875,6301
-,64,0,0,0
+,7694,1588,3865,8698
+,3219,150,3996,6058
+,8000,2293,8657,9443
+,337,7319,9256,4328
+,3387,3281,5312,6894
+,6617,7623,4161,241
+,8700,6026,9337,408
+,6069,8581,1861,752
-,730,0,0,0
+,6992,7485,4285,8269
+,8491,6014,7895,8941
+,7345,4205,7016,1965
+,2857,7318,8248,3802
+,6022,5224,4708,8656
-,927,0,0,0
+,5883,4110,3398,2955
+,9043,7302,2461,6513
+,6478,1234,6113,6598
+,8789,6183,4501,176
+,9178,904,9185,692
+,228,4689,446,7004
+,3084,9613,8158,3765
-,57,0,0,0
+,5714,5381,7956,3955
+,7125,4195,9017,3932
+,6939,5596,8717,2481
+,6215,905,3076,1801
+,9485,8704,8187,6284
+,4862,6717,320,1622
+,6624,7612,7097,5572
+,9511,9364,1700,346
+,7470,5182,797,6539
+,206,7214,1292,4894
+,9449,3457,7793,5427
+,872,3638,1058,2375
+,4813,7682,5923,2961
+,5796,7574,3397,6819
+,7136,5687,8913,6226
+,6878,1015,9941,8856
+,4271,3401,4071,919
+,6406,8298,6361,8745
+,972,6810,448,357
+,3415,8966,6827,8802
+,413,9920,7609,5004
+,7095,307,8759,7211
+,6782,2095,3292,5823
+,2962,468,9253,8946
+,0,1303,5590,6788
+,5716,7239,2436,8378
+,113,5115,7382,9534
+,6667,7864,9214,4737
+,3154,2408,293,8023
+,3341,6483,8821,1817
+,4368,2291,6646,9252
+,4511,7619,7059,2142
+,2826,9692,418,1581
+,1800,9757,8023,2018
+,9590,2142,2670,1587
-,502,0,0,0
+,9610,4228,5445,7320
+,3780,3671,8650,4564
+,1984,2913,3166,1825
+,3400,2037,9273,3978
+,5516,5298,4372,3011
+,8562,158,1396,3286
+,8816,1652,691,7843
+,1667,1879,6368,6300
+,3546,8619,9819,1984
+,9390,1116,5782,9462
+,8861,5266,3335,957
+,2847,783,8868,5955
+,7861,5250,8599,8015
+,398,2686,5277,8964
+,9055,5753,9132,5952
+,6711,2051,7146,5258
+,2635,6553,276,9746
+,1959,539,5342,118
-,244,0,0,0
+,3113,1843,4608,1467
+,7407,2864,5999,7097
+,3011,8723,1687,1532
+,8426,6270,6691,69
+,3784,3685,1031,4071
+,9252,8709,9360,258
+,3452,165,1965,6185
+,3948,7675,2403,7119
+,4111,7856,2924,4606
+,7279,636,904,2188
+,9547,7684,966,3803
-,143,0,0,0
+,4197,5515,2426,1707
+,5922,5671,7662,5210
+,3610,6140,1529,9216
+,7818,9130,1167,8274
+,7070,1782,1082,1402
+,9345,6344,9657,4941
+,8533,1504,8276,5112
+,2602,9027,9050,5247
-,295,0,0,0
+,5536,1891,1512,7428
-,191,0,0,0
+,7364,5379,2642,6691
+,3645,7692,2947,1020
+,8990,2905,8203,6627
+,315,6673,7451,4726
+,800,898,181,9030
+,3314,25,1800,8900
+,885,6270,9137,713
+,9143,7061,9275,5478
+,3545,9487,2282,1128
+,4492,7411,7314,7958
+,1979,4954,5514,6845
+,9604,2833,1957,3934
+,3789,3419,3223,785
+,8273,848,8311,6793
+,3606,9477,4404,4497
+,4884,367,4048,1012
+,808,4944,5421,3422
+,9356,686,5074,408
+,9123,6171,3828,6412
+,2626,7455,4361,4522
+,4475,8216,8263,1226
+,3946,6596,1439,5777
+,4365,9576,142,5659
+,9810,624,8992,8423
+,3951,8387,7458,7788
+,9713,1283,675,9712
+,9235,8405,7828,4707
+,1434,1131,1259,7868
+,2690,6474,3360,4209
+,4988,1727,3557,4547
+,3349,1534,1204,6254
+,8153,5602,990,3449
+,8428,1670,1735,6065
+,6809,904,3570,6850
+,5697,6661,3413,4709
+,7118,9470,1430,3739
+,4867,292,666,7968
-,647,0,0,0
+,5752,9615,3643,4912
+,2671,1989,7887,2190
+,7983,449,124,3017
+,9775,2474,5833,9275
+,8298,9021,2348,8025
+,163,4222,2481,1751
-,181,0,0,0
+,9946,3062,7346,2817
+,8308,2398,287,2896
-,309,0,0,0
+,4950,9314,1177,5907
+,9009,4507,854,4876
+,2701,7949,6332,8653
+,3188,9862,429,4828
+,7392,7552,6838,6517
+,5331,3232,4432,8838
+,2937,7742,418,3190
+,1208,942,1686,1170
+,3622,7274,2154,1002
+,2204,8401,9875,8177
+,1040,2537,8260,5335
+,1184,4911,6780,5214
+,9232,2169,6885,8973
+,4779,3095,4317,316
+,2171,48,7178,5337
+,5816,7966,174,5269
+,9766,9244,8576,9817
+,2550,4955,7972,7975
+,7715,8530,8279,7099
+,7325,6515,4297,7650
+,6931,5584,6960,9892
+,6412,7939,2007,454
+,1581,4495,1553,9123
+,9376,1024,394,2836
+,8890,7376,4470,504
+,2666,7780,8202,4964
-,846,0,0,0
+,6432,7033,9197,3416
+,7054,3904,1173,7463
+,733,4876,2526,4558
-,751,0,0,0
+,4684,5545,5783,5888
+,1509,4088,7713,7049
+,8194,8118,8349,5850
+,9487,9960,3725,278
+,7254,3959,5459,9336
+,5849,62,8196,5701
+,3823,379,4348,6094
+,538,1311,7408,283
+,7790,1094,2894,9591
+,4919,1548,8649,1696
+,6728,8065,8401,7134
+,500,5377,6499,6746
+,9567,5041,1928,5670
+,779,8017,1289,3194
+,9536,8661,6812,7126
+,8991,3744,3546,151
+,9916,7760,9722,4200
+,2154,2543,8596,8378
+,156,5497,8867,856
-,372,0,0,0
+,2322,2532,7432,6679
+,3595,3931,2451,9163
+,8643,6582,6828,6296
+,1394,6863,3221,7392
+,8705,9813,6448,4456
+,4849,238,7233,8259
+,8647,7115,8783,2419
+,8743,8876,1801,5261
+,488,1500,4529,6309
+,8213,2192,2045,6517
+,4752,9104,1488,6187
+,1975,1523,8507,9371
+,7384,8609,530,2441
+,7799,9076,4904,3672
+,6951,5657,4220,6396
+,8247,5892,8526,8731
+,9558,6012,237,1016
+,7717,5023,1630,2691
+,5679,9224,3185,2397
-,876,0,0,0
+,5274,1060,4077,9034
+,7969,9545,6071,4833
+,926,8994,2594,9363
+,1850,3945,4440,9328
+,6276,5965,1651,8769
+,3101,5899,7426,4454
+,854,2553,7810,9591
-,228,0,0,0
-,356,0,0,0
-,900,0,0,0
+,9650,8632,2685,4445
+,8524,8243,919,6617
+,6090,1510,6569,6788
+,7811,8641,2528,8765
+,5168,6173,1809,5247
+,1615,9600,1984,2369
+,8277,8564,9346,7773
+,8377,7052,755,9495
+,207,6177,4606,5302
+,5623,674,5679,4261
+,3819,6572,7137,1999
+,4987,2268,5750,3130
+,2887,2067,6657,8788
+,9609,2536,4432,9
+,1834,7682,6922,3443
+,1296,7992,60,172
+,637,1765,2203,6498
+,8318,1449,3573,9570
+,4891,2048,6368,7286
+,3538,7611,760,9232
-,527,0,0,0
+,3987,6084,7136,8564
+,2925,3998,8448,9279
+,5980,4629,7571,5503
+,1119,6930,5577,9547
+,6183,2900,4158,8686
+,8521,2075,8400,8911
+,3446,1037,8954,9393
+,4396,7355,7190,4516
+,7334,458,9103,6505
-,541,0,0,0
+,3045,8713,5848,845
+,9948,1292,7399,4891
+,2428,9912,3747,8655
+,9334,7656,4503,7304
+,8529,2438,3844,7570
+,6729,7725,8989,4069
+,9983,3716,329,2103
+,2528,9372,659,2095
+,6713,9171,2434,8353
+,4003,4155,650,8077
+,4029,3149,3087,9452
+,2784,4474,9110,7736
+,8960,6955,2736,9612
+,9705,7981,5860,8443
-,921,0,0,0
+,6358,9694,9699,7680
+,2133,5421,835,7345
+,752,2576,3738,5148
+,6804,5499,5493,7847
+,8200,2313,512,2741
+,2081,6958,9353,1083
-,809,0,0,0
+,7003,6150,884,1601
+,8829,5359,3285,8759
+,2668,6269,3437,3022
+,3637,73,3130,7785
+,3294,4450,6094,5653
+,7642,9680,1155,3325
+,6445,6658,4579,9851
+,824,8446,4093,2750
+,5226,1792,331,6236
+,9877,4757,8817,9900
+,6308,5612,9388,9372
+,2728,6165,3994,421
-,815,0,0,0
+,6777,1667,1205,6861
+,7319,5393,1225,3093
-,826,0,0,0
+,6361,6890,1804,4773
+,7432,6375,4854,4547
+,1256,2981,1253,9379
+,3058,7003,2370,4814
+,4798,6847,9969,7371
+,8966,3616,3018,8847
+,5848,8073,2595,9535
+,5903,6618,4613,3673
+,1544,2211,5635,2993
+,483,456,2308,429
+,536,6395,2429,1152
-,233,0,0,0
-,514,0,0,0
+,5213,5071,7533,4664
+,1990,1623,9723,5140
-,390,0,0,0
-,792,0,0,0
+,7905,5163,8971,7820
+,7627,4825,6450,3607
+,9594,7411,8643,4284
+,2975,6597,1205,8721
+,4506,9052,5701,9456
+,2075,7623,1492,81
+,3201,369,8732,2252
+,917,1445,5197,6371
-,573,0,0,0
+,9908,3479,4001,767
+,8014,3203,6922,5713
+,5419,1449,7826,9729
+,9468,3015,5990,6148
+,2387,3400,3332,4013
+,6960,1752,9584,1372
+,4201,3098,2355,1080
+,5367,4981,699,9118
+,1231,9653,1668,4527
+,8548,948,5780,2400
+,8490,6647,9096,2069
+,4520,6793,8877,9993
-,534,0,0,0
+,1807,3406,3934,4103
+,1414,6003,7906,3818
+,2342,9811,6522,628
+,6103,6624,4205,2521
+,9599,6991,1429,5546
+,518,4680,7448,1826
