OP,A1,A2,A3,A4,A5,A6 
+,2741,5861,3313,764,6171,4976
+,5783,3007,3757,4244,1548,1090
+,8205,8140,2074,5938,3273,7962
+,4464,6755,3087,4182,2175,4784
+,3459,3273,8295,1466,4118,9799
+,3205,2944,8269,3450,4953,583
+,9898,9733,5911,6151,3861,5081
+,4886,2049,9306,4990,9221,7861
+,3983,7363,3676,960,2684,2781
+,6523,1907,3884,10,4933,2653
+,5774,6053,8963,5329,4878,5466
-,399,0,0,0,0,0
+,5221,2680,8607,2318,3439,2839
+,8105,9993,1512,3092,8611,7911
+,9956,1905,9234,1592,8429,790
+,8649,6098,2745,909,4971,5696
+,2437,255,1410,7757,4857,6655
+,5589,4911,3501,2266,5232,733
-,378,0,0,0,0,0
+,7171,6899,7026,7020,1285,5852
+,6123,2694,7083,3800,618,5259
+,8590,868,7104,23,6783,8559
+,1622,5164,9354,9590,8634,7232
+,4925,2498,3906,8994,1521,9705
+,2809,8477,1953,2709,2130,7147
+,1218,3738,7883,1315,5987,410
+,2513,1640,8382,6712,1690,8369
+,1602,9645,1243,2167,4422,1730
+,2674,9553,6142,543,6057,3929
+,7193,7478,7611,2042,8495,6982
+,4142,5817,4074,3885,3294,1284
+,6902,3835,588,4771,8773,4715
+,1671,113,6012,9255,9254,9504
+,6299,6369,3541,6535,3198,5672
+,4059,8327,4478,6060,7280,7609
+,1380,981,6577,3456,6013,8345
+,8973,2721,3559,8410,7608,3983
+,3418,6041,8898,2908,8737,951
+,9859,4423,4712,6707,7093,524
+,8709,5616,2761,6831,2674,5558
+,7569,8748,3428,2781,7693,8045
+,2136,6375,6425,6838,8466,6979
+,938,5155,3667,4106,8250,5974
+,1539,6200,7981,2367,6530,7948
+,3748,2959,7897,276,3905,3748
+,7707,9885,6480,7073,9170,5216
+,4582,4144,2310,757,6617,9320
+,9576,5386,2992,2376,9621,8391
+,9277,7215,2339,4556,2897,2290
+,2034,5853,3638,3054,9343,5835
+,5982,3721,10000,5792,2951,1952
+,8623,8420,7420,4929,1118,4984
+,4526,5818,3285,2339,83,6385
+,6972,8242,1397,3455,615,9983
+,2472,6233,2632,2519,6077,6668
+,509,6631,2630,3495,4349,6971
-,913,0,0,0,0,0
+,5795,9794,5222,4274,8364,7903
+,4046,2513,8931,4300,4489,4036
+,9370,1747,2900,7063,9345,5806
+,1103,2613,2997,2301,274,3867
+,5287,8360,4055,9361,3169,9595
+,7284,5369,7065,6434,2670,1724
+,8285,3019,190,7886,9113,8433
-,918,0,0,0,0,0
+,6456,6685,5544,3741,2166,8763
+,8004,3889,5763,3585,2649,8707
+,5812,9079,8461,4755,8510,113
+,4640,1587,650,7165,9142,7975
+,1236,644,9012,9469,7964,1545
+,3235,523,194,4648,8147,56
+,3361,6544,3718,9105,4384,7401
+,5277,1739,8708,1248,1718,3029
-,39,0,0,0,0,0
-,180,0,0,0,0,0
+,2317,1329,1500,5509,8565,2469
+,2599,7602,8584,6856,4233,3385
+,4253,6324,2821,28,6906,5442
+,1376,1789,3988,3928,9729,176
+,8652,6666,5133,3564,203,5786
+,4319,2812,3657,1901,8188,3449
+,138,2494,3106,9969,4150,8316
-,373,0,0,0,0,0
+,9823,2936,6661,4985,906,7781
+,6668,993,7866,7419,1736,2020
+,7342,9447,3217,8866,2023,6224
+,4404,5015,2941,9239,1118,1883
-,61,0,0,0,0,0
+,669,2396,1273,4480,3295,1736
+,7678,7518,3326,2042,3017,6105
+,3632,1218,7387,1709,553,1188
+,4712,9049,2928,6227,6363,5990
+,7051,5989,716,8560,6021,6838
+,8731,9723,6430,2871,159,4023
-,99,0,0,0,0,0
+,306,2578,2806,2114,6736,2550
+,1290,9377,7025,912,4256,893
+,7786,1463,9731,3618,2033,9872
+,2127,7783,6096,8024,6255,640
-,555,0,0,0,0,0
+,2477,9978,27,1534,7235,6655
+,767,2315,8171,5106,4430,7470
+,6372,1684,8184,2243,8341,7119
+,6646,7204,818,2508,1918,229
+,5030,6228,9518,3022,2727,7862
+,6201,326,8296,6148,6164,7951
+,2847,5019,6122,3891,9837,4515
+,1981,3951,4686,8387,3136,7186
+,9853,2946,7229,5288,7870,5861
+,6641,2987,4456,6237,5670,1937
+,179,759,5881,7518,4030,451
+,6000,8758,6771,8990,7074,3876
+,2743,4658,6210,1932,4012,865
+,3825,4017,531,7081,1390,1139
+,9221,7215,8665,869,5325,1295
+,2232,1358,1458,3112,6161,5377
+,5214,1682,8576,3852,9579,3981
+,6030,9975,1158,4509,7611,6757
-,862,0,0,0,0,0
+,3656,7580,8400,3757,7950,6142
+,3753,7162,8414,9827,8190,312
-,825,0,0,0,0,0
+,6418,6421,8771,9264,1504,2777
+,1580,1830,365,9803,9310,9640
+,1490,1643,5494,5910,8730,5333
+,3822,2500,5503,9680,1118,6393
-,876,0,0,0,0,0
+,9972,3019,6352,4593,8304,9261
+,6799,4245,3023,8834,931,3570
+,8428,2621,8886,8038,4161,5765
+,4226,7756,5648,2174,8836,9816
+,3867,7176,2493,493,5231,6594
+,7292,1896,1615,7432,2796,7688
+,647,8603,364,9503,6587,2913
+,2341,7122,9551,4503,1250,2929
+,4739,202,6052,5618,291,6791
+,7442,3284,8530,5926,867,5826
+,1008,7211,1965,3000,4023,9782
+,2387,7893,8227,8664,7218,8592
+,2449,162,1108,4755,228,897
+,8373,7110,2466,2207,3213,6671
+,970,6050,3435,2180,8556,8728
+,5538,7270,5255,7410,8630,6924
+,3814,2582,2758,1446,8514,2172
+,5864,5483,9454,2321,3442,3955
+,7543,929,3222,2579,739,8515
+,5423,7665,7462,8693,9271,9232
+,3388,8161,7475,9341,8320,9831
+,622,9606,3060,8670,4928,1050
+,9670,9769,3097,5270,861,9803
+,1476,8852,7243,9422,3247,681
+,4934,6732,7486,1687,6760,4380
+,6511,778,7088,8018,8582,3449
+,9360,1517,7568,8149,2535,3026
+,737,2014,967,1406,2351,621
-,143,0,0,0,0,0
+,4181,1596,8838,4818,92,3895
+,3225,8050,9605,4440,9585,2770
+,9061,6963,728,2545,4414,5652
+,6914,4186,3399,8046,286,9541
+,1725,3854,3615,4335,2500,827
+,7771,9404,4029,3725,4817,4879
+,6602,315,2106,1822,2517,3701
+,2893,7286,5129,3617,3627,2325
+,7472,1211,7958,7444,2561,9689
+,9133,2789,777,525,8987,4493
+,249,2796,1692,4262,196,2119
-,555,0,0,0,0,0
+,4612,3059,8431,7002,5273,9243
+,3283,3525,8621,1703,5613,8590
+,3985,2828,7663,6318,5632,3401
+,4662,2789,7109,4821,7165,4255
+,8630,3450,3695,5727,7220,6212
+,7988,5203,4082,7528,9233,3118
+,4449,6128,4218,9999,8741,2421
+,5943,1526,103,7494,2224,19
+,9505,3900,8446,9124,5362,1575
+,2145,8996,7182,6521,3756,1273
+,9816,1254,7805,2488,8759,1087
+,8291,1577,2597,7825,8614,3886
+,6206,7037,1276,5112,6093,7824
+,2093,5668,3946,6934,525,4080
+,4190,7098,173,4950,5157,9080
+,1626,9367,2116,1358,630,2548
+,2484,4595,4098,1886,1815,7784
+,8425,1208,2506,6855,3381,2201
+,584,3613,6918,2042,5925,9870
+,7658,5824,245,9317,6814,8509
-,541,0,0,0,0,0
+,6147,1713,8098,1634,7727,9880
+,1367,2858,7198,3691,3076,5970
+,6867,9620,7369,8993,2306,8026
+,8245,3894,4512,3587,8442,876
+,8651,8040,5044,4869,2837,5600
+,4830,8149,2754,1521,4417,9991
+,6647,3555,7832,6115,8454,9111
-,878,0,0,0,0,0
+,9773,3462,6685,6877,5549,863
+,3774,3296,257,8553,7776,8079
+,8068,4965,6173,7715,1587,1541
+,4357,2741,8299,2444,4744,2218
+,6012,5857,4967,758,7070,9305
+,6489,279,226,2383,766,2039
+,8645,1764,1642,989,4222,2309
+,1009,3616,9487,3041,7968,2920
+,1454,823,8093,6823,3849,3687
+,2121,6052,3580,1328,1169,3648
+,7306,3654,7085,3390,4756,324
+,4713,7920,7155,6822,3811,2023
+,5507,6973,7608,4506,2656,7772
+,2598,9882,3228,3682,3350,803
+,8040,9969,4368,1108,6938,8664
+,3486,5955,4837,5850,9032,4693
+,2627,5433,1436,3304,5123,2384
+,3036,7340,483,3580,8350,4392
+,9398,8378,67,6766,6086,3771
+,5361,7935,4256,887,8105,4071
+,2083,2663,2537,8723,9883,1115
+,1101,6828,3578,8610,867,7073
+,2305,1037,5155,6582,8927,3875
+,4016,8464,2890,5804,9285,55
+,1575,4690,8683,4946,728,6645
+,7760,9738,9318,6670,9389,3809
+,8792,2257,4904,7863,8020,3607
+,3583,1763,2281,2335,241,5558
+,5723,2734,4973,6096,2279,3456
+,690,3923,7356,3991,9143,9714
+,2826,3275,1819,9577,3601,9072
+,3165,5075,1512,1606,7405,1377
+,2936,9168,93,5539,7431,7021
+,2065,2528,3813,2769,4514,907
+,1741,3338,8619,2028,2577,4855
+,5903,8659,5767,2422,9269,6467
+,4542,5126,3909,2929,9783,938
+,5885,4552,7035,8720,2609,1359
+,1877,1248,8254,7879,3447,6818
+,7014,5269,657,3123,9186,4280
+,5615,8263,6754,5733,107,2384
+,7129,3954,3689,5625,9574,4982
+,4110,4148,5258,3310,6928,2202
+,1600,4539,9205,2183,287,7672
+,5237,3749,9075,3210,8418,653
+,4412,241,664,5801,8577,7414
+,3896,7347,5579,6397,5949,2568
+,5730,5552,4440,4254,834,549
+,9381,9284,7675,734,9035,3630
+,483,7570,1348,6256,1358,2278
+,1788,2418,8213,4721,7988,491
+,7224,3202,4729,9208,6117,7138
+,7086,8150,8437,4851,810,6311
+,6688,2967,3212,9426,44,8564
+,3638,1392,1238,8561,3531,6697
+,7065,9885,5476,9820,3921,3421
+,603,5396,8115,9449,4610,9298
+,3458,2829,7596,1164,5655,290
+,3427,2369,7783,3906,442,6916
+,4241,7916,481,7758,8688,6016
+,1028,9209,5854,6825,1363,2597
+,7377,5120,1287,6609,5216,4373
+,2943,1937,2338,261,4675,7893
+,7015,5853,1089,246,3572,6507
+,6118,3762,8661,6742,2086,2042
+,8893,9235,8019,7206,4679,6793
+,1375,2450,8547,5052,133,7663
-,227,0,0,0,0,0
+,2975,1045,2282,9986,2454,1903
+,7259,8154,125,1621,1974,9421
+,7148,1488,757,6076,6688,5330
+,8734,8957,204,9049,4135,3523
+,244,4534,2948,6849,5188,3070
+,4470,256,2857,7452,8421,1317
+,6552,7851,7602,413,7980,2811
+,5913,6701,6064,5148,1476,246
+,2600,9131,9237,5295,4205,4630
+,6556,8978,6935,2879,1415,4111
+,4524,9231,8891,8409,9197,2260
+,3281,6647,8078,9793,5280,3346
+,5132,6429,3433,8999,5911,2833
+,2018,6522,6194,4638,5612,7215
+,5467,949,2651,8903,1076,7378
+,6101,8597,9888,9863,1750,7298
+,8539,7783,1078,4907,5645,4717
-,610,0,0,0,0,0
+,8844,1668,1897,5188,4494,4136
+,1139,7905,781,4399,5333,2033
+,1456,7383,6661,2535,9792,3204
+,3928,1155,5049,7402,3512,9261
+,8469,8474,3429,5581,5058,8163
+,8812,4982,8650,9743,1872,1876
+,9819,9682,6792,5966,4000,5360
+,8954,2903,2242,1026,5026,658
+,4400,3773,6012,6378,2594,9882
+,1805,2105,8384,3064,8421,2132
+,5794,3835,4111,2984,2060,5651
+,1980,1169,6000,4977,9983,9946
+,3430,3609,3457,499,2409,4622
+,4141,60,4955,9212,3077,6609
+,805,5075,5547,3971,2180,2642
-,574,0,0,0,0,0
-,419,0,0,0,0,0
+,8375,4212,4838,846,8085,6707
+,6173,9882,116,6548,6887,4669
+,5809,5031,7384,3079,3105,5212
+,6136,2678,2213,2114,1376,9550
+,2086,1968,8600,6341,3992,1636
+,7035,9421,829,8177,4108,5564
+,362,3413,4051,4335,6331,3387
+,3541,215,7164,1254,4288,7362
+,9875,6467,4949,7343,6373,3149
+,4872,61,8577,6578,4416,5932
+,2040,6315,2570,6406,6788,7491
+,44,4041,7659,895,1066,968
+,6031,9820,848,7263,2229,7210
-,256,0,0,0,0,0
+,9155,6422,7199,9613,6314,5500
+,5096,6682,3685,3710,1283,6604
+,2539,3653,7217,6764,1791,4009
+,8974,6845,457,3261,6066,3928
+,4186,8896,1884,3289,668,7130
+,5813,6326,4753,8086,571,912
+,7267,1494,2137,2848,3006,2042
+,1792,4081,3791,6711,2071,8584
+,1110,578,7651,6828,5590,6028
+,1014,1593,2333,2547,1736,4077
+,7862,872,5068,3001,8323,2315
+,1381,1820,8365,1406,7167,8483
+,2422,1047,9112,1814,5374,4988
+,9326,9716,3177,1013,9520,8116
+,2703,8999,5733,4911,6548,3987
+,2716,6705,6544,2641,2456,1609
+,668,7521,2416,281,3742,2105
+,1184,4386,8910,6633,9956,5257
+,5251,1726,6606,7508,9098,9732
+,9760,8946,3982,1165,9461,8113
+,9857,1967,8621,728,3882,1762
+,2122,9990,3740,1490,3044,5860
+,8524,4119,4808,2476,5153,2243
+,3787,6100,6451,4946,2348,5829
+,1570,8577,5943,6682,8711,1788
+,2988,8665,5754,9225,1735,5169
+,7547,3360,203,3120,5728,8416
+,4716,8502,7207,8460,8317,946
+,2059,7999,7571,3019,2519,1727
+,685,8056,5165,1920,3259,102
+,7325,6457,7155,8112,9162,574
+,495,3552,3671,6858,536,4527
+,1066,2998,5036,4355,6240,4392
+,2933,9758,6122,8671,218,445
+,8660,8585,858,9094,2112,30
+,8272,4231,8413,2411,7670,7069
+,8581,1543,2518,9425,4514,4694
+,6027,8819,8161,136,7943,2220
+,4631,7516,719,8202,1701,6344
+,3586,4803,8747,5615,539,5558
+,5914,2574,1217,2900,4128,8335
+,6455,7485,6714,8760,4064,1836
+,5033,3479,7158,8981,6631,1916
+,9543,6311,6763,7526,8526,7975
+,34,5858,4323,4622,5383,8472
+,8473,8861,1223,2469,6888,5190
+,3597,54,4749,8892,5088,9907
+,5545,3212,9883,4603,7109,5985
+,7230,5597,4117,6012,7464,9306
+,7535,2437,8115,6143,9727,3371
+,3168,7118,6065,9968,3758,4680
+,4194,2585,9602,8145,9074,9840
+,2315,3007,3821,8731,3632,1577
+,962,5105,206,2014,55,8861
-,101,0,0,0,0,0
+,8621,4233,3515,5100,5427,1828
+,7083,6009,5978,8657,1331,4098
+,5805,7001,4661,6756,6118,8537
+,4661,8613,9049,3942,3062,1372
+,292,5266,9260,6981,8879,5175
+,2538,4524,1960,6011,6092,7392
+,1750,9347,3864,1251,5669,7332
+,8516,654,3669,4519,2729,7609
-,578,0,0,0,0,0
+,9713,8419,4473,8324,1647,4028
+,7611,6094,6794,7658,864,3954
+,8867,13,2036,964,9858,2265
-,69,0,0,0,0,0
+,9000,4227,7641,6808,8273,7909
+,7787,3492,1636,9496,6776,2970
+,5673,8637,2950,2430,5629,8448
+,504,1236,4995,6438,1088,2591
+,7362,4826,3115,2459,9522,4958
-,303,0,0,0,0,0
+,3042,4602,7474,3983,8533,5695
+,7497,2106,3537,8200,8586,3878
+,3408,8783,3216,5724,4804,4574
+,262,7185,8352,7049,8709,6527
+,6992,5433,551,5299,66,5523
+,1885,9140,7412,7634,788,194
+,6749,830,4898,1218,192,8187
-,155,0,0,0,0,0
+,8845,8444,159,7484,2518,9638
+,7589,8114,6298,5038,3628,9859
+,825,2257,3015,7942,5347,3573
+,8560,3083,6672,382,6281,6781
+,8471,6415,7025,1511,659,9687
+,761,9341,2497,2022,7243,3805
+,3312,2449,1572,6558,6294,5768
+,3817,4739,9519,8600,8211,4163
-,801,0,0,0,0,0
+,2420,1278,8370,3231,5084,9509
+,7199,8664,7973,6987,6355,2960
+,541,9942,9163,3719,9392,5351
+,9396,1998,1049,5861,9967,743
+,3885,788,6112,7746,2519,8820
+,9388,6581,5322,6057,8429,9507
-,157,0,0,0,0,0
+,7012,6706,3073,7142,6689,298
-,876,0,0,0,0,0
+,3778,5101,2102,2542,655,2999
+,2081,733,6816,2479,2830,7507
+,762,3838,3602,1235,3621,5489
+,3133,1545,6513,5458,766,1261
+,9323,1779,6770,3596,2296,8942
+,5347,2706,2370,4668,7953,7554
+,3343,4431,4075,4748,2280,3929
+,3372,6864,2015,9265,4368,616
+,1882,1822,1608,8182,7204,4088
+,5316,1937,4629,7442,814,9969
+,7291,314,8769,6911,6591,1123
+,4552,1469,4610,2999,6646,9402
+,691,2249,6986,3205,813,3370
+,2111,6540,4649,6770,544,4730
+,7357,4674,1832,9916,4781,3515
+,2694,5421,8164,1372,3583,6317
-,207,0,0,0,0,0
+,2419,4556,5847,5339,5265,1218
+,1113,671,2842,498,1553,1091
+,980,5933,216,1523,4753,4441
+,1128,9799,1133,9561,3927,350
+,7955,5176,3325,4149,7418,2463
+,3603,12,9750,1228,8911,9433
+,1470,9569,2734,4234,5691,345
+,4239,5957,976,1645,520,2705
+,6766,6416,8737,4700,9120,6840
-,891,0,0,0,0,0
+,6150,8358,7835,5746,8045,9333
+,3750,8815,269,5720,3119,3001
+,6217,986,6933,3123,5806,6746
+,4445,7197,3825,7942,9764,72
+,6674,1112,7862,1861,9608,3075
+,9769,8391,3872,9168,4452,7312
+,2635,6505,2615,4415,1500,9947
+,7504,2699,5483,862,7902,4818
+,524,9440,8244,4095,7345,6379
+,9406,1817,35,730,6417,1725
+,4971,8789,5748,7467,1584,5274
+,9234,5409,5444,5176,7350,4528
+,6565,5065,8691,4344,3574,3470
+,2861,9156,8726,5276,7293,5758
+,4091,2335,6800,7100,3104,208
+,9686,4257,2127,8982,9004,1546
+,1045,8207,2062,3263,791,4273
+,2913,6397,7032,6777,8245,2982
+,1411,1992,5580,996,3213,5214
+,9934,4924,9542,4665,9826,642
+,1843,4861,6874,8773,5937,1483
+,352,2468,7455,8087,8875,4699
+,5408,6061,6016,3865,9494,2852
-,192,0,0,0,0,0
+,3476,8389,2598,6460,8620,3806
+,4869,5943,9065,645,2481,4818
+,8585,8952,1768,9287,5027,1154
+,5989,861,3592,7421,779,7315
+,7397,8837,5549,2721,6667,3105
+,1227,5254,694,4812,1337,2261
+,8576,3348,6935,7954,529,3588
+,2272,731,3962,2557,7500,1322
+,8358,7625,1630,6980,5003,5872
+,6501,7862,2304,3725,3325,5483
+,1387,9131,4186,5363,3921,8984
+,3749,4431,2999,87,5704,8947
+,2849,7896,4906,6341,2917,2749
-,293,0,0,0,0,0
-,812,0,0,0,0,0
+,5084,2558,9844,8669,6429,7174
+,6818,4109,126,5970,9949,2714
+,1517,1297,1108,1560,3566,7135
+,5904,2452,2551,7722,7787,8999
+,9555,3582,5979,2557,8165,653
-,583,0,0,0,0,0
+,4783,9874,4260,8532,8046,2533
+,2592,2075,7085,2278,1044,2646
+,8769,5106,8522,2615,394,9538
-,657,0,0,0,0,0
+,7924,5608,5828,8323,4545,4924
+,8677,8746,1726,4825,9317,574
+,3792,2614,9897,9093,323,177
+,4193,4843,8728,837,2938,7195
+,4475,1761,9396,8400,1972,108
+,2541,8322,287,5884,2811,8824
+,1354,4224,8124,3897,6121,7179
+,7801,1908,9732,7894,7199,6362
+,8017,9531,6967,4587,2356,9053
+,7423,7050,356,8097,3548,4627
+,8694,4359,8527,5538,1965,8088
+,6884,9715,574,3648,1860,4038
+,4349,2766,4090,8638,4628,4390
+,2822,6960,2655,764,1958,6711
+,9128,7681,5090,6441,3864,6759
+,6720,6269,9553,9891,4690,2405
+,7944,3136,2883,438,4653,6804
+,9568,1528,7326,8544,2831,3667
+,8200,2198,8004,2415,2660,1022
+,1834,1836,2212,9077,342,7147
+,1238,2542,7049,4074,8367,2774
+,9533,2425,6389,5360,2731,8361
+,1660,5253,9003,8341,3027,4816
+,1403,552,2294,7823,3202,4401
+,9062,9339,5412,3418,8934,9921
+,6869,9668,7399,2794,8421,1199
+,1590,7429,1402,5410,7734,8254
+,5536,448,258,9553,9005,4214
+,7197,5649,292,6552,1041,9232
+,9329,5991,7007,9912,7125,3679
+,2807,1470,828,9009,6702,4465
+,6446,8103,1700,3895,7783,6471
+,6608,5697,9611,9303,8892,2649
+,6151,1197,2010,5446,6797,9709
+,8099,5780,3335,8604,1382,9629
+,9634,7643,6004,2076,7741,8215
+,6989,6088,9418,3242,2215,5038
+,9813,2461,4337,59,4009,5326
+,6384,3867,2142,6207,9811,7171
+,6381,4792,9694,9102,303,3681
+,540,4809,8313,4449,1515,4958
+,7183,763,3540,9563,2277,4284
+,6729,5015,4408,6955,6953,9253
+,9067,1498,4014,5386,20,6003
+,6996,3614,7646,9575,5765,1694
+,9930,8702,3782,8794,6576,4598
+,3770,9635,3612,70,3650,7693
+,4525,7558,8069,6858,4817,6780
+,661,4769,6530,196,3277,1244
+,8513,7474,5275,2555,8261,1665
-,860,0,0,0,0,0
+,1993,3957,4758,5460,5491,7038
+,9609,5141,7415,8808,1688,8896
+,2030,1054,4476,6142,6183,3838
+,9913,2838,2678,42,2561,6924
+,7255,2730,2209,8666,7090,4937
+,3934,6741,6545,5522,6983,6832
+,232,7862,657,4857,8396,3117
+,1878,3241,3106,9322,2061,725
+,1269,5835,2094,4519,4388,9187
+,9645,6193,9732,1716,8020,9478
+,8699,159,6938,3447,2395,9133
+,4173,4752,4469,6890,9191,8246
+,8280,8345,8253,4763,8589,9056
+,3989,8609,4104,8535,9507,7036
+,9150,2583,7891,5426,8265,5382
+,5582,2474,5892,989,2145,3653
+,84,2191,6146,5376,9526,303
-,217,0,0,0,0,0
+,9629,4571,6461,5524,6536,5938
+,817,4283,9728,9225,650,3082
+,7817,3787,2928,9381,5206,3229
-,878,0,0,0,0,0
-,306,0,0,0,0,0
+,7797,4230,5308,6684,3157,5037
+,5298,3148,700,9521,3053,4753
+,2047,4792,4340,5001,3092,8455
+,3119,2280,681,38,4903,1728
+,7037,6815,2604,2553,2950,7540
+,4759,1363,6013,3917,9737,6938
+,9908,2723,927,8791,8063,2395
+,6060,2514,7483,6926,1285,8725
+,4212,2331,4958,3689,8534,125
+,4463,4582,8984,3772,9764,3510
+,1042,3503,5636,587,3706,3966
+,6189,7911,795,3453,9291,3701
+,6353,6500,3120,9814,1841,2180
+,3394,5891,9155,7039,3906,6403
+,22,5305,2144,7528,9442,8464
+,8575,4260,3523,9939,4557,1820
+,6758,7601,5595,8874,982,7688
+,677,8395,4117,2385,7094,9907
+,447,9654,5669,1987,1690,2256
+,7937,9213,8387,828,7735,9161
+,3761,4690,2525,9875,4317,4014
+,1368,6642,6699,2643,9771,741
+,1349,7411,4192,5100,7009,3978
+,7990,7917,1791,7468,5595,9914
+,1541,6210,1287,5965,3060,8550
-,87,0,0,0,0,0
+,949,9459,3779,2834,3478,7631
+,5200,5958,7803,8215,1503,1480
+,5573,9212,8113,9099,2990,3942
+,1809,5262,1213,8150,7772,9790
+,3612,8389,3391,7593,2721,3907
+,3422,1657,2705,434,1956,9534
+,8853,3773,1639,9339,4655,3185
+,6178,4965,3680,4019,9412,6146
+,5020,684,1893,3718,7306,2772
+,1509,2361,9810,7740,9347,404
+,1775,7875,6093,6216,5962,2456
+,6514,3631,1412,1759,1128,6237
+,1330,6493,544,8646,1880,7275
+,3949,1896,8890,1981,331,3272
+,9575,7578,4409,6599,6659,5756
+,9035,3181,8256,2246,945,526
+,8545,7980,8855,1536,6559,1239
+,8938,4399,8096,3526,5770,1616
+,6541,9736,5225,9772,6687,7328
+,4156,3584,7015,5722,5332,4420
+,1714,4218,3153,6046,8298,965
+,2908,3897,7513,1320,986,8525
+,6761,9188,9849,5965,3858,5552
+,8085,365,8319,2028,6235,6400
+,4903,9824,226,8939,5920,2131
+,3871,4084,5025,5883,1081,3519
+,3333,7649,5755,6413,4290,3609
+,4128,9907,8257,6066,2367,4139
+,1983,6319,999,8787,9974,3000
+,2724,9753,808,5225,6785,472
-,338,0,0,0,0,0
+,7135,6462,5968,2820,5874,144
+,5607,1076,4605,92,9456,4678
-,943,0,0,0,0,0
+,5,7661,5482,1689,4424,1704
+,5000,1927,1231,5334,4905,8642
+,5474,1079,8607,3667,659,7628
+,254,5160,1940,9085,9818,9858
+,310,9000,837,3978,5413,8962
+,6024,8632,8423,4583,6692,6019
+,502,8864,6464,9733,4526,4559
+,2564,2390,7198,2265,5007,3696
-,592,0,0,0,0,0
+,7412,2660,8255,9041,9900,3518
+,6584,3761,5010,808,3313,5792
+,8088,3694,5728,6564,9870,1271
+,1949,5401,2060,2074,9495,8245
+,4837,1501,4152,4104,2870,1902
+,2647,9484,6695,7300,3350,1947
+,7996,130,9653,7895,6343,2643
+,9587,5201,4111,8745,2882,3500
+,7919,4730,4515,7587,803,3076
+,6661,4731,8925,1158,7247,7226
+,3223,4577,7234,2160,9693,6730
+,1531,5243,1735,210,1175,2300
+,4088,4196,9331,1506,5563,9884
+,8728,7538,9664,1376,525,9444
+,9640,89,4127,7259,5124,2179
+,3085,2721,2305,5519,5477,5469
+,2010,6413,44,3297,8001,4922
+,1906,3151,1288,6726,1903,113
+,2497,284,6417,6599,7066,7101
+,7372,2496,1138,6629,184,5908
+,9255,2565,2972,9479,1070,1528
+,5921,1480,3935,1096,4715,7374
+,5631,3326,6424,5561,7403,8231
+,9942,5738,3418,5149,8455,7881
+,2303,4580,5705,5508,4023,8656
+,8569,82,5347,3786,7758,163
+,2760,4906,8681,3206,9583,8836
+,5351,4005,9408,5289,4963,8608
+,7951,631,7986,1380,1769,2337
+,8046,2578,2855,1143,6004,142
+,2205,1682,8902,8962,2364,28
+,8464,8164,5805,1772,80,4225
-,418,0,0,0,0,0
-,681,0,0,0,0,0
+,1449,2023,1750,4820,8992,8515
+,7629,7838,5413,7121,6258,7212
+,533,2701,4846,1371,9111,9320
+,8735,2006,258,7461,1117,5712
+,3357,6765,985,8906,639,7326
+,4888,9126,3386,8218,9889,8527
+,1822,3971,7564,8269,6957,9385
+,9139,3125,6262,497,9097,2579
+,7853,1674,7764,3069,3132,959
+,494,77,801,2490,6579,658
+,8605,7089,4907,2222,5618,4844
+,595,8287,6464,6772,5221,6529
-,484,0,0,0,0,0
+,765,7427,2275,2467,7493,5648
+,2483,4030,2593,6279,7151,5535
+,7663,1134,2073,1865,1532,2005
+,90,9352,5031,9823,5544,8410
+,2124,1218,7919,4000,6174,7215
+,9424,3287,7482,7559,186,8605
+,886,1634,4748,189,6465,492
+,4815,6194,5290,4686,1538,1625
+,8463,2661,8339,2935,542,9571
+,9563,1257,3144,1081,7812,3105
+,2280,6013,1598,1191,7597,3704
+,5485,3849,7703,5113,1015,348
+,8365,3298,4805,457,6748,7634
+,9355,4755,4877,4261,1857,9594
+,6289,9222,6808,5033,7742,2355
-,543,0,0,0,0,0
+,623,1931,8013,5377,218,6432
-,523,0,0,0,0,0
+,1495,118,3325,3199,5683,7816
+,7044,1603,3459,9078,2790,6001
+,4285,8788,5574,5438,6626,3007
+,1733,8459,1151,1018,3213,9688
+,3925,8225,7264,3340,4784,1172
+,5149,8878,5976,7716,5976,7276
+,9469,7284,1241,7909,6718,2154
+,6701,7232,1790,715,9358,5281
+,6265,2560,958,5801,5800,6478
+,8962,3362,956,9479,2262,1559
+,2005,6755,7760,5360,4545,6973
+,1455,8280,5115,4722,7401,9647
+,2115,1589,4297,2610,55,8337
+,4574,8309,3623,9300,142,3130
+,6368,1203,8323,8411,6214,2810
+,8249,9432,2313,534,9112,9622
+,7087,7603,2011,9925,2026,3769
+,2494,2450,350,162,869,4491
+,9608,8025,5487,4266,6552,7850
+,4991,474,2806,3327,1089,7086
+,9671,7813,9758,1567,9509,4899
+,4195,1915,5181,9297,5546,6791
+,6719,2070,1566,3714,3683,7209
+,7296,6864,9353,6956,8122,4703
+,2551,3833,5625,1259,2465,542
+,3385,9090,7277,1047,5539,4007
-,391,0,0,0,0,0
+,5218,5800,7163,7141,5451,245
+,2054,2705,2890,8851,4301,8607
+,8828,9879,2429,9908,7326,3912
+,8751,6817,5137,3999,3224,9001
+,7049,5946,6131,4501,2269,9180
+,4699,3752,2866,638,8396,8768
+,8076,343,9862,7849,1737,9876
